"","betavar","lppd","species","vital","prior_stdev"
"3",0.0258790170132325,-9526.93279373297,"BOGR","growth",0.16
"26",0.01,-3237.49900773373,"HECO","growth",0.1
"50",0.01,-8167.25479661689,"PASM","growth",0.1
"74",0.01,-4756.71392633691,"POSE","growth",0.1
"98",0.01,-4232.46819349869,"BOGR","survival",0.1
"124",0.0491682419659735,-1690.62160390131,"HECO","survival",0.22
"147",0.0258790170132325,-5134.80615119581,"PASM","survival",0.16
"170",0.01,-2198.5881335756,"POSE","survival",0.1
"216",2.07109640831758,-406.810355834125,"BOGR","recruitment",1.44
"241",2.25,-488.99596831821,"HECO","recruitment",1.5
"242",0.01,-722.853224231951,"PASM","recruitment",0.1
"289",2.25,-596.416306652883,"POSE","recruitment",1.5
"292",0.0491682419659735,481.416006735226,"BOGR","cover",0.22
"317",0.0798676748582231,631.920885138856,"HECO","cover",0.28
"361",2.25,1110.26740036673,"PASM","cover",1.5
"362",0.01,752.849557623312,"POSE","cover",0.1
