"time","cover","species","climsim"
500,0.000927172785434893,"POSE","zppttemp"
501,0.00960060229558173,"POSE","zppttemp"
502,0.00411645497668519,"POSE","zppttemp"
503,0.00188561711897914,"POSE","zppttemp"
504,0.00330567208983282,"POSE","zppttemp"
505,0.00329893183309206,"POSE","zppttemp"
506,0.00868662794767036,"POSE","zppttemp"
507,0.00413140925845472,"POSE","zppttemp"
508,0.00876390120493964,"POSE","zppttemp"
509,0.00441623919512096,"POSE","zppttemp"
510,0.00969550896308701,"POSE","zppttemp"
511,0.0179294500714966,"POSE","zppttemp"
512,0.0428267628786452,"POSE","zppttemp"
513,0.0198815017734268,"POSE","zppttemp"
514,0.016488420193248,"POSE","zppttemp"
515,0.00467808718164602,"POSE","zppttemp"
516,0.00696038755619918,"POSE","zppttemp"
517,0.00361915924207791,"POSE","zppttemp"
518,0.00493957281845715,"POSE","zppttemp"
519,0.00196957855591951,"POSE","zppttemp"
520,0.00841244998854063,"POSE","zppttemp"
521,0.0322722477095877,"POSE","zppttemp"
522,0.0107473060816704,"POSE","zppttemp"
523,0.00736594116890405,"POSE","zppttemp"
524,0.00431436042215459,"POSE","zppttemp"
525,0.0106957312935298,"POSE","zppttemp"
526,0.0210502530599223,"POSE","zppttemp"
527,0.0149554220432978,"POSE","zppttemp"
528,0.031710611479483,"POSE","zppttemp"
529,0.0680611571646999,"POSE","zppttemp"
530,0.0251698513537049,"POSE","zppttemp"
531,0.0100492198181911,"POSE","zppttemp"
532,0.0568421242132391,"POSE","zppttemp"
533,0.0168558226523773,"POSE","zppttemp"
534,0.00303483573275457,"POSE","zppttemp"
535,0.0107060351344424,"POSE","zppttemp"
536,0.011015750825972,"POSE","zppttemp"
537,0.0455284579440783,"POSE","zppttemp"
538,0.0131728309726991,"POSE","zppttemp"
539,0.0383475003042364,"POSE","zppttemp"
540,0.022535808126117,"POSE","zppttemp"
541,0.0130989113963625,"POSE","zppttemp"
542,0.00366421065787413,"POSE","zppttemp"
543,0.00513370617016031,"POSE","zppttemp"
