"time","cover","species","climsim","vital"
500,0.00741176262605485,2,"all","all"
501,0.00864892910843589,2,"all","all"
502,0.00738265230010926,2,"all","all"
503,0.00891299632515413,2,"all","all"
504,0.00731600382560507,2,"all","all"
505,0.0081454564413605,2,"all","all"
506,0.00861104306021782,2,"all","all"
507,0.00834916096481617,2,"all","all"
508,0.00929288707959605,2,"all","all"
509,0.0101477814915497,2,"all","all"
510,0.0104742267879933,2,"all","all"
511,0.0108023152847193,2,"all","all"
512,0.0110597948021642,2,"all","all"
513,0.00856056890304755,2,"all","all"
514,0.007412738345635,2,"all","all"
515,0.00677718213771149,2,"all","all"
516,0.00731520639478661,2,"all","all"
517,0.00886611227680858,2,"all","all"
518,0.0085726303361567,2,"all","all"
519,0.00973260447680062,2,"all","all"
520,0.0101802902342821,2,"all","all"
521,0.0105152619601378,2,"all","all"
522,0.00955890340751699,2,"all","all"
523,0.00899211704596807,2,"all","all"
524,0.00878649842842029,2,"all","all"
525,0.00971522804519693,2,"all","all"
526,0.0102827992030058,2,"all","all"
527,0.0101725960426815,2,"all","all"
528,0.0106675798706892,2,"all","all"
529,0.0110050364817822,2,"all","all"
530,0.00996759457472524,2,"all","all"
531,0.00833197700424588,2,"all","all"
532,0.00964592145719127,2,"all","all"
533,0.0106899668950672,2,"all","all"
534,0.0114619817536492,2,"all","all"
535,0.0109828018206237,2,"all","all"
536,0.0113021161318973,2,"all","all"
537,0.0115229360236292,2,"all","all"
538,0.00887382619855448,2,"all","all"
539,0.0100582206060497,2,"all","all"
540,0.00953209763488982,2,"all","all"
541,0.0081525701774035,2,"all","all"
542,0.00725174122876261,2,"all","all"
543,0.00780787963663919,2,"all","all"
544,0.00725454768449276,2,"all","all"
545,0.00820389964855025,2,"all","all"
546,0.00806462283024821,2,"all","all"
547,0.00932110893659114,2,"all","all"
548,0.00996755078289939,2,"all","all"
549,0.010707611479077,2,"all","all"
550,0.0102918349167464,2,"all","all"
551,0.0101639461775142,2,"all","all"
552,0.00943649063266112,2,"all","all"
553,0.00897425613376517,2,"all","all"
554,0.00880859761707964,2,"all","all"
555,0.00869322008104854,2,"all","all"
556,0.00919005332776804,2,"all","all"
557,0.00783459561738845,2,"all","all"
558,0.00916542098544982,2,"all","all"
559,0.00796685030715546,2,"all","all"
560,0.00873345698921302,2,"all","all"
561,0.00915088533823973,2,"all","all"
562,0.00788436571649112,2,"all","all"
563,0.00934801556700701,2,"all","all"
564,0.00998508079231962,2,"all","all"
565,0.00911677550994634,2,"all","all"
566,0.00940519079975975,2,"all","all"
567,0.0095505170590962,2,"all","all"
568,0.0102224237201009,2,"all","all"
569,0.00933675960391935,2,"all","all"
570,0.0101449174486848,2,"all","all"
571,0.0109686202497157,2,"all","all"
572,0.0114839053502866,2,"all","all"
573,0.00914269266201871,2,"all","all"
574,0.00907259331104729,2,"all","all"
575,0.00956768308096304,2,"all","all"
576,0.00986345486135791,2,"all","all"
577,0.0108450618254645,2,"all","all"
578,0.0105121504554862,2,"all","all"
579,0.00959602337945375,2,"all","all"
580,0.0104059369992013,2,"all","all"
581,0.00828354507973596,2,"all","all"
582,0.00955034642550641,2,"all","all"
583,0.00903925970669755,2,"all","all"
584,0.00873958221228076,2,"all","all"
585,0.00999607547636355,2,"all","all"
586,0.00805314866188671,2,"all","all"
587,0.00837992039328356,2,"all","all"
588,0.00982841491071281,2,"all","all"
589,0.0104110297048278,2,"all","all"
590,0.00955077487362243,2,"all","all"
591,0.0097779928652218,2,"all","all"
592,0.00924218797851887,2,"all","all"
593,0.00895104303145858,2,"all","all"
594,0.00754390198709572,2,"all","all"
595,0.00680985431882064,2,"all","all"
596,0.0074017388205467,2,"all","all"
597,0.00661183785463443,2,"all","all"
598,0.00614898091425494,2,"all","all"
599,0.00583706792477477,2,"all","all"
600,0.00651733445478416,2,"all","all"
601,0.0059182666304102,2,"all","all"
602,0.00693199803523179,2,"all","all"
603,0.00754537071282019,2,"all","all"
604,0.00671871834455825,2,"all","all"
605,0.00603165080782549,2,"all","all"
606,0.00703328519915637,2,"all","all"
607,0.00833896527891716,2,"all","all"
608,0.00849739383856092,2,"all","all"
609,0.00862450814343657,2,"all","all"
610,0.00955595890134296,2,"all","all"
611,0.00753458889412025,2,"all","all"
612,0.00694718281059522,2,"all","all"
613,0.00745037965188761,2,"all","all"
614,0.00767441219303703,2,"all","all"
615,0.00878010359888945,2,"all","all"
616,0.00977313401814458,2,"all","all"
617,0.0103651909632838,2,"all","all"
618,0.00941524259087271,2,"all","all"
619,0.0095755876801668,2,"all","all"
620,0.0102605754578941,2,"all","all"
621,0.00853336453450424,2,"all","all"
622,0.00990240868813629,2,"all","all"
623,0.0108832036619379,2,"all","all"
624,0.00986616331910042,2,"all","all"
625,0.00925464665317128,2,"all","all"
626,0.00962863969055741,2,"all","all"
627,0.0079075276846854,2,"all","all"
628,0.0091864034883628,2,"all","all"
629,0.00949656699781149,2,"all","all"
630,0.0090680011015878,2,"all","all"
631,0.00882873332258882,2,"all","all"
632,0.00868189475113894,2,"all","all"
633,0.00757558748895081,2,"all","all"
634,0.00919405089918452,2,"all","all"
635,0.0103312592861315,2,"all","all"
636,0.0101592803942878,2,"all","all"
637,0.00950420981820933,2,"all","all"
638,0.0102252744107527,2,"all","all"
639,0.0106714241586002,2,"all","all"
640,0.0113638642761444,2,"all","all"
641,0.0101467423930362,2,"all","all"
642,0.0101918784180834,2,"all","all"
643,0.0095803699876289,2,"all","all"
644,0.0103702249127026,2,"all","all"
645,0.00829191937599919,2,"all","all"
646,0.00858961050090372,2,"all","all"
647,0.0100424271521501,2,"all","all"
648,0.0108580506681654,2,"all","all"
649,0.0105762807241063,2,"all","all"
650,0.0113103264808783,2,"all","all"
651,0.00878843832129753,2,"all","all"
652,0.0102853951626969,2,"all","all"
653,0.0108651233147718,2,"all","all"
654,0.0106395630965718,2,"all","all"
655,0.0113363446517391,2,"all","all"
656,0.0114987722883591,2,"all","all"
657,0.00888096716959017,2,"all","all"
658,0.010363206890147,2,"all","all"
659,0.00870815196436144,2,"all","all"
660,0.00980513259803067,2,"all","all"
661,0.00998487779031383,2,"all","all"
662,0.009284536655246,2,"all","all"
663,0.00794521225331525,2,"all","all"
664,0.00743008280655121,2,"all","all"
665,0.00882056662087278,2,"all","all"
666,0.00997295655652571,2,"all","all"
667,0.00799057261826537,2,"all","all"
