"time","cover","species","climsim","vital"
500,0.00744458482694335,2,"ppttemp","survival"
501,0.0086854016922387,2,"ppttemp","survival"
502,0.00742233561376055,2,"ppttemp","survival"
503,0.00896178375810446,2,"ppttemp","survival"
504,0.00735324261669301,2,"ppttemp","survival"
505,0.00818372139326159,2,"ppttemp","survival"
506,0.00865412618415565,2,"ppttemp","survival"
507,0.00839164461561904,2,"ppttemp","survival"
508,0.00933779512552983,2,"ppttemp","survival"
509,0.0101958509851535,2,"ppttemp","survival"
510,0.0105189838583304,2,"ppttemp","survival"
511,0.0108445215453973,2,"ppttemp","survival"
512,0.0110992031239798,2,"ppttemp","survival"
513,0.00858732728620337,2,"ppttemp","survival"
514,0.00743310484902069,2,"ppttemp","survival"
515,0.00679366194982323,2,"ppttemp","survival"
516,0.0073342157408944,2,"ppttemp","survival"
517,0.00889004822525379,2,"ppttemp","survival"
518,0.00859660143251977,2,"ppttemp","survival"
519,0.00976053196135088,2,"ppttemp","survival"
520,0.0102084170954147,2,"ppttemp","survival"
521,0.0105428036257776,2,"ppttemp","survival"
522,0.0095842450638342,2,"ppttemp","survival"
523,0.00901710879674008,2,"ppttemp","survival"
524,0.00881328116937596,2,"ppttemp","survival"
525,0.00974273018593737,2,"ppttemp","survival"
526,0.0103089294963483,2,"ppttemp","survival"
527,0.0101959719410896,2,"ppttemp","survival"
528,0.0106904437654776,2,"ppttemp","survival"
529,0.0110272021618371,2,"ppttemp","survival"
530,0.00998847315250916,2,"ppttemp","survival"
531,0.00836098651187181,2,"ppttemp","survival"
532,0.00968070464877582,2,"ppttemp","survival"
533,0.0107302880275586,2,"ppttemp","survival"
534,0.011504994217095,2,"ppttemp","survival"
535,0.0110209065431317,2,"ppttemp","survival"
536,0.0113384883627687,2,"ppttemp","survival"
537,0.0115571255282323,2,"ppttemp","survival"
538,0.00889700739456175,2,"ppttemp","survival"
539,0.0100826940249454,2,"ppttemp","survival"
540,0.00955702217400591,2,"ppttemp","survival"
541,0.0081852876659652,2,"ppttemp","survival"
542,0.00728040828577757,2,"ppttemp","survival"
543,0.00783988417669903,2,"ppttemp","survival"
544,0.00728605381657773,2,"ppttemp","survival"
545,0.0082376528611487,2,"ppttemp","survival"
546,0.00809791549304071,2,"ppttemp","survival"
547,0.00936002725626487,2,"ppttemp","survival"
548,0.0100069439905233,2,"ppttemp","survival"
549,0.0107485941442331,2,"ppttemp","survival"
550,0.0103344530492884,2,"ppttemp","survival"
551,0.0102034069450551,2,"ppttemp","survival"
552,0.0094737778032513,2,"ppttemp","survival"
553,0.00900996221103867,2,"ppttemp","survival"
554,0.00884370146009906,2,"ppttemp","survival"
555,0.00872792091339134,2,"ppttemp","survival"
556,0.00923098083688668,2,"ppttemp","survival"
557,0.00787952923875676,2,"ppttemp","survival"
558,0.00921752445628193,2,"ppttemp","survival"
559,0.00801265686649218,2,"ppttemp","survival"
560,0.00878031910272693,2,"ppttemp","survival"
561,0.00919577394276983,2,"ppttemp","survival"
562,0.00792265078607578,2,"ppttemp","survival"
563,0.00939218811466582,2,"ppttemp","survival"
564,0.0100291580992847,2,"ppttemp","survival"
565,0.00915597637404367,2,"ppttemp","survival"
566,0.00944229657597146,2,"ppttemp","survival"
567,0.0095913383262863,2,"ppttemp","survival"
568,0.0102640651630635,2,"ppttemp","survival"
569,0.00937439991086199,2,"ppttemp","survival"
570,0.0101834184214379,2,"ppttemp","survival"
571,0.011008882400476,2,"ppttemp","survival"
572,0.0115247008289489,2,"ppttemp","survival"
573,0.00917584348714496,2,"ppttemp","survival"
574,0.00910565498293848,2,"ppttemp","survival"
575,0.00960727568108486,2,"ppttemp","survival"
576,0.00990218712916579,2,"ppttemp","survival"
577,0.0108867611031933,2,"ppttemp","survival"
578,0.0105560946091729,2,"ppttemp","survival"
579,0.00963648643292258,2,"ppttemp","survival"
580,0.0104476353442316,2,"ppttemp","survival"
581,0.00831338614558679,2,"ppttemp","survival"
582,0.00958235052235972,2,"ppttemp","survival"
583,0.0090694899302288,2,"ppttemp","survival"
584,0.00876941225375872,2,"ppttemp","survival"
585,0.0100312764417059,2,"ppttemp","survival"
586,0.00807918160896822,2,"ppttemp","survival"
587,0.00840724146885471,2,"ppttemp","survival"
588,0.00986056379824511,2,"ppttemp","survival"
589,0.0104433936735699,2,"ppttemp","survival"
590,0.00958169936756759,2,"ppttemp","survival"
591,0.00980759629869636,2,"ppttemp","survival"
592,0.00927036270344019,2,"ppttemp","survival"
593,0.00898016949426483,2,"ppttemp","survival"
594,0.00756664680836158,2,"ppttemp","survival"
595,0.00682854485975869,2,"ppttemp","survival"
596,0.00742413571264015,2,"ppttemp","survival"
597,0.00663050111564642,2,"ppttemp","survival"
598,0.00616491370944685,2,"ppttemp","survival"
599,0.00585085389613808,2,"ppttemp","survival"
600,0.00653386369952706,2,"ppttemp","survival"
601,0.0059323014307302,2,"ppttemp","survival"
602,0.00694752286423005,2,"ppttemp","survival"
603,0.00756675944322285,2,"ppttemp","survival"
604,0.00674035420382614,2,"ppttemp","survival"
605,0.00605025602692024,2,"ppttemp","survival"
606,0.00705966356310275,2,"ppttemp","survival"
607,0.0083712393034725,2,"ppttemp","survival"
608,0.00852856524114725,2,"ppttemp","survival"
609,0.00865967704954307,2,"ppttemp","survival"
610,0.00959500918645567,2,"ppttemp","survival"
611,0.00756287381930291,2,"ppttemp","survival"
612,0.0069744587562554,2,"ppttemp","survival"
613,0.00748003270128325,2,"ppttemp","survival"
614,0.00770537592754894,2,"ppttemp","survival"
615,0.00881401353418449,2,"ppttemp","survival"
616,0.00981009529161982,2,"ppttemp","survival"
617,0.0104043205390039,2,"ppttemp","survival"
618,0.00945042675335764,2,"ppttemp","survival"
619,0.00961548218768269,2,"ppttemp","survival"
620,0.0103017752027331,2,"ppttemp","survival"
621,0.00856846556663862,2,"ppttemp","survival"
622,0.00994383881810905,2,"ppttemp","survival"
623,0.0109278734949797,2,"ppttemp","survival"
624,0.00990714313185904,2,"ppttemp","survival"
625,0.00929313900858094,2,"ppttemp","survival"
626,0.00967284288334425,2,"ppttemp","survival"
627,0.00794125859361273,2,"ppttemp","survival"
628,0.00922189855223705,2,"ppttemp","survival"
629,0.0095365380337309,2,"ppttemp","survival"
630,0.00910618921515653,2,"ppttemp","survival"
631,0.00886585163896713,2,"ppttemp","survival"
632,0.00871827823598394,2,"ppttemp","survival"
633,0.00761697391475855,2,"ppttemp","survival"
634,0.00924641852316386,2,"ppttemp","survival"
635,0.0103891704423799,2,"ppttemp","survival"
636,0.01021188791423,2,"ppttemp","survival"
637,0.00955100165010284,2,"ppttemp","survival"
638,0.010270274692621,2,"ppttemp","survival"
639,0.0107126965453335,2,"ppttemp","survival"
640,0.0114051929901793,2,"ppttemp","survival"
641,0.0101823844236085,2,"ppttemp","survival"
642,0.0102316991030677,2,"ppttemp","survival"
643,0.00961952103409948,2,"ppttemp","survival"
644,0.0104093570634276,2,"ppttemp","survival"
645,0.00831997814020947,2,"ppttemp","survival"
646,0.00861838521231603,2,"ppttemp","survival"
647,0.0100758368207825,2,"ppttemp","survival"
648,0.0108947247679551,2,"ppttemp","survival"
649,0.0106164182495351,2,"ppttemp","survival"
650,0.0113545154367893,2,"ppttemp","survival"
651,0.00881999055411754,2,"ppttemp","survival"
652,0.0103217873856032,2,"ppttemp","survival"
653,0.0109011685992184,2,"ppttemp","survival"
654,0.0106716539064458,2,"ppttemp","survival"
655,0.0113705757281898,2,"ppttemp","survival"
656,0.0115298837855938,2,"ppttemp","survival"
657,0.00890215321528203,2,"ppttemp","survival"
658,0.010388022754745,2,"ppttemp","survival"
659,0.00873104543833686,2,"ppttemp","survival"
660,0.00982893644952858,2,"ppttemp","survival"
661,0.0100072666713585,2,"ppttemp","survival"
662,0.00930641307299131,2,"ppttemp","survival"
663,0.00797512767397862,2,"ppttemp","survival"
664,0.00746194259975075,2,"ppttemp","survival"
665,0.00885673740813688,2,"ppttemp","survival"
666,0.0100142834293065,2,"ppttemp","survival"
667,0.00802078065535039,2,"ppttemp","survival"
668,0.00813292817887349,2,"ppttemp","survival"
669,0.00707556750291311,2,"ppttemp","survival"
670,0.00846034314442438,2,"ppttemp","survival"
671,0.00962389445593173,2,"ppttemp","survival"
672,0.00774989744430718,2,"ppttemp","survival"
673,0.00719446931031211,2,"ppttemp","survival"
674,0.00853113488771638,2,"ppttemp","survival"
675,0.00836472867912454,2,"ppttemp","survival"
676,0.00731227295578722,2,"ppttemp","survival"
677,0.00821981075774049,2,"ppttemp","survival"
678,0.00820569793449913,2,"ppttemp","survival"
679,0.00923284348037602,2,"ppttemp","survival"
680,0.00981953452679454,2,"ppttemp","survival"
681,0.00911871183730191,2,"ppttemp","survival"
682,0.00984951625259534,2,"ppttemp","survival"
683,0.00984574680533036,2,"ppttemp","survival"
684,0.00935953545075697,2,"ppttemp","survival"
685,0.00777047388720327,2,"ppttemp","survival"
686,0.00801665685059513,2,"ppttemp","survival"
687,0.00724664418189159,2,"ppttemp","survival"
688,0.00772363170079207,2,"ppttemp","survival"
