"time","cover","species","climsim"
500,0.00019851443272416,"PASM","obs"
501,0.000358613196461849,"PASM","obs"
502,0.000203729386705739,"PASM","obs"
503,0.000210317757453445,"PASM","obs"
504,0.000131281967466243,"PASM","obs"
505,0.000188313967620667,"PASM","obs"
506,0.000224830545031444,"PASM","obs"
507,0.000232408120764253,"PASM","obs"
508,0.000398036649055292,"PASM","obs"
509,0.000316897100076522,"PASM","obs"
510,0.000438099997772051,"PASM","obs"
511,0.000646603753686104,"PASM","obs"
512,0.000846004844193231,"PASM","obs"
513,0.000430078466720997,"PASM","obs"
514,0.000247554299743611,"PASM","obs"
515,0.000150090726886088,"PASM","obs"
516,0.000171327837363691,"PASM","obs"
517,0.000169434461479169,"PASM","obs"
518,0.000182971449605954,"PASM","obs"
519,0.000182850025400716,"PASM","obs"
520,0.000340543695719168,"PASM","obs"
521,0.00051178155483798,"PASM","obs"
522,0.000426065680016206,"PASM","obs"
523,0.00039651549334825,"PASM","obs"
524,0.000389792665723744,"PASM","obs"
525,0.000563612922667197,"PASM","obs"
526,0.000728711991897244,"PASM","obs"
527,0.000770890628332289,"PASM","obs"
528,0.00112000759992888,"PASM","obs"
529,0.00145804607637892,"PASM","obs"
530,0.00112284686560275,"PASM","obs"
531,0.000601944945575637,"PASM","obs"
532,0.00109911070188389,"PASM","obs"
533,0.000906422193659543,"PASM","obs"
534,0.000805369729742481,"PASM","obs"
535,0.00104309795125619,"PASM","obs"
536,0.00167759638615674,"PASM","obs"
537,0.0022530257301183,"PASM","obs"
538,0.00109589729492088,"PASM","obs"
539,0.00173125855709381,"PASM","obs"
540,0.00142563904732329,"PASM","obs"
541,0.000782857015450172,"PASM","obs"
542,0.000462495671247113,"PASM","obs"
543,0.000538539862308201,"PASM","obs"
544,0.000423434240563632,"PASM","obs"
545,0.000591264820306355,"PASM","obs"
546,0.000611682934716457,"PASM","obs"
547,0.000576548958838578,"PASM","obs"
548,0.00100327825932271,"PASM","obs"
549,0.000769389969479719,"PASM","obs"
550,0.000864670459923042,"PASM","obs"
551,0.00104616457518989,"PASM","obs"
552,0.000993406044092842,"PASM","obs"
553,0.000988523306662042,"PASM","obs"
554,0.00100090997774607,"PASM","obs"
555,0.00101797482486891,"PASM","obs"
556,0.00115234832818778,"PASM","obs"
557,0.000669869300456994,"PASM","obs"
558,0.00127516669940187,"PASM","obs"
559,0.00085520114466918,"PASM","obs"
560,0.00109528050364381,"PASM","obs"
561,0.00129753142241467,"PASM","obs"
562,0.000881189868734658,"PASM","obs"
563,0.000851975367563813,"PASM","obs"
564,0.00154686314664216,"PASM","obs"
565,0.00137399742612237,"PASM","obs"
566,0.00156167904566838,"PASM","obs"
567,0.00159882894042036,"PASM","obs"
568,0.00246907459510968,"PASM","obs"
569,0.00199256639339463,"PASM","obs"
570,0.00292427563963066,"PASM","obs"
571,0.00199446068235863,"PASM","obs"
572,0.00170681510848733,"PASM","obs"
573,0.00127381243526627,"PASM","obs"
574,0.00135076673459658,"PASM","obs"
575,0.00163261431167355,"PASM","obs"
576,0.00200286160061184,"PASM","obs"
577,0.00168415425617317,"PASM","obs"
578,0.00195303367918461,"PASM","obs"
579,0.00193360607612388,"PASM","obs"
580,0.0031306859034217,"PASM","obs"
581,0.00156209604029091,"PASM","obs"
582,0.00255429267762325,"PASM","obs"
583,0.0021075176139646,"PASM","obs"
584,0.00191091906743102,"PASM","obs"
585,0.00167896660820482,"PASM","obs"
586,0.000958171481138855,"PASM","obs"
587,0.00100207610308636,"PASM","obs"
588,0.000974982952922215,"PASM","obs"
589,0.00176870587151503,"PASM","obs"
590,0.00154281747210694,"PASM","obs"
591,0.00175854845105601,"PASM","obs"
592,0.00162135414981125,"PASM","obs"
593,0.00154262798779904,"PASM","obs"
594,0.000871990956406547,"PASM","obs"
595,0.000518083775773884,"PASM","obs"
596,0.000584906156832199,"PASM","obs"
597,0.000356291718661087,"PASM","obs"
598,0.000219802977040727,"PASM","obs"
599,0.000137050235964413,"PASM","obs"
600,0.00016303143575962,"PASM","obs"
601,0.000102383512985282,"PASM","obs"
602,0.000144088536557972,"PASM","obs"
603,0.000170629239515688,"PASM","obs"
604,0.000127941896649271,"PASM","obs"
605,8.01227607023685e-05,"PASM","obs"
606,0.000105767240304882,"PASM","obs"
607,0.00010474812510734,"PASM","obs"
608,0.000144797562216171,"PASM","obs"
609,0.000169341784366346,"PASM","obs"
610,0.000156514533071182,"PASM","obs"
611,9.72064648370121e-05,"PASM","obs"
612,8.01192766746968e-05,"PASM","obs"
613,9.07900365529787e-05,"PASM","obs"
614,0.000104403045682982,"PASM","obs"
615,0.000186371570757922,"PASM","obs"
616,0.000149040307614798,"PASM","obs"
617,0.000141224360481731,"PASM","obs"
618,0.000154168999660801,"PASM","obs"
619,0.000184145130843193,"PASM","obs"
620,0.000312837282532811,"PASM","obs"
