"time","cover","species","climsim"
500,0.000900162940621003,"POSE","obs"
501,0.000610980605463372,"POSE","obs"
502,0.000974964757830318,"POSE","obs"
503,0.000776832993400969,"POSE","obs"
504,0.000975003321498827,"POSE","obs"
505,0.00162970198676393,"POSE","obs"
506,0.00347774809232252,"POSE","obs"
507,0.00315428028975092,"POSE","obs"
508,0.00190738438407353,"POSE","obs"
509,0.000347230350354964,"POSE","obs"
510,0.000272551961138825,"POSE","obs"
511,0.000255195658874474,"POSE","obs"
512,0.000228071062829973,"POSE","obs"
513,0.000313799776408614,"POSE","obs"
514,0.00037831199068514,"POSE","obs"
515,0.00043627129978612,"POSE","obs"
516,0.000670561787397025,"POSE","obs"
517,0.000499513492106507,"POSE","obs"
518,0.000388385680125656,"POSE","obs"
519,0.000383687682759874,"POSE","obs"
520,0.000331890766202741,"POSE","obs"
521,0.000288262458673926,"POSE","obs"
522,0.000460808886175734,"POSE","obs"
523,0.000731662316232928,"POSE","obs"
524,0.000828181493597093,"POSE","obs"
525,0.000458971462369726,"POSE","obs"
526,0.000301588049270313,"POSE","obs"
527,0.000637516531557857,"POSE","obs"
528,0.000467638989768942,"POSE","obs"
529,0.00038495394909806,"POSE","obs"
530,0.000602926791655983,"POSE","obs"
531,0.000883864309505553,"POSE","obs"
532,0.000626374840449046,"POSE","obs"
533,0.000127044950518132,"POSE","obs"
534,0.000159965763921153,"POSE","obs"
535,0.000360342844859712,"POSE","obs"
536,0.000273672825480857,"POSE","obs"
537,0.000230786364834517,"POSE","obs"
538,0.000312630912695592,"POSE","obs"
539,0.00024551349703318,"POSE","obs"
540,0.000358672511276746,"POSE","obs"
541,0.000540729301723657,"POSE","obs"
542,0.000603658945966452,"POSE","obs"
543,0.000776487662398512,"POSE","obs"
544,0.000361015787377115,"POSE","obs"
545,0.000705724119011406,"POSE","obs"
546,0.00104611636745569,"POSE","obs"
547,0.000185703440468494,"POSE","obs"
548,0.000183055667498435,"POSE","obs"
549,0.000193433554620529,"POSE","obs"
550,0.000602396162092517,"POSE","obs"
551,0.000865780574126351,"POSE","obs"
552,0.000945114547821184,"POSE","obs"
553,0.00137037382507772,"POSE","obs"
554,0.00157200309328698,"POSE","obs"
555,0.00184563253373156,"POSE","obs"
556,0.00399441441408751,"POSE","obs"
557,0.00416911636360896,"POSE","obs"
558,0.0023940316709154,"POSE","obs"
559,0.00106305233685023,"POSE","obs"
