"time","cover","species","climsim"
500,0.00584995391718682,"BOGR","zppttemp"
501,0.00109794542236464,"BOGR","zppttemp"
502,0.0311953967621585,"BOGR","zppttemp"
503,0.015041451334442,"BOGR","zppttemp"
504,0.126264885185214,"BOGR","zppttemp"
505,0.22612208975265,"BOGR","zppttemp"
506,0.121269408350546,"BOGR","zppttemp"
507,0.329583655152227,"BOGR","zppttemp"
508,0.00154193606088796,"BOGR","zppttemp"
509,8.25180781895752e-05,"BOGR","zppttemp"
510,0.00037975921864853,"BOGR","zppttemp"
511,0.0303005786464666,"BOGR","zppttemp"
512,0.000553789628548988,"BOGR","zppttemp"
513,0.227477634516941,"BOGR","zppttemp"
514,0.035113897703369,"BOGR","zppttemp"
515,0.00214845992407386,"BOGR","zppttemp"
516,0.00216003969535044,"BOGR","zppttemp"
517,0.00388731818006107,"BOGR","zppttemp"
518,0.043424996681696,"BOGR","zppttemp"
519,0.0258690141172889,"BOGR","zppttemp"
520,0.00549656276303317,"BOGR","zppttemp"
521,0.0150503323321525,"BOGR","zppttemp"
522,0.0500765634630075,"BOGR","zppttemp"
523,0.821740271514046,"BOGR","zppttemp"
524,1.514955390905,"BOGR","zppttemp"
525,1.69339768783073e-05,"BOGR","zppttemp"
526,1.76122877796351e-06,"BOGR","zppttemp"
527,1.36770555868701e-05,"BOGR","zppttemp"
528,3.46028663648916e-06,"BOGR","zppttemp"
529,1.10271933327711e-07,"BOGR","zppttemp"
530,2.39886080097182e-06,"BOGR","zppttemp"
531,8.09718270640577e-06,"BOGR","zppttemp"
532,9.04499991981959e-07,"BOGR","zppttemp"
533,1.03613699594842e-06,"BOGR","zppttemp"
534,1.44890580903517e-05,"BOGR","zppttemp"
535,0.000206895791099374,"BOGR","zppttemp"
536,0.000215504264572748,"BOGR","zppttemp"
537,1.48693397687499e-06,"BOGR","zppttemp"
538,0.000119029539795388,"BOGR","zppttemp"
539,9.06860356306655e-05,"BOGR","zppttemp"
540,0.0032315168736808,"BOGR","zppttemp"
541,0.0525679212108638,"BOGR","zppttemp"
542,2.47204874007055,"BOGR","zppttemp"
543,0.548741995398199,"BOGR","zppttemp"
544,0.523664556200069,"BOGR","zppttemp"
545,0.0815935946752913,"BOGR","zppttemp"
546,0.235362057921353,"BOGR","zppttemp"
547,0.352026535700611,"BOGR","zppttemp"
548,0.0218381450271209,"BOGR","zppttemp"
549,0.00459188729140422,"BOGR","zppttemp"
550,0.029049521001388,"BOGR","zppttemp"
551,0.0239700056583207,"BOGR","zppttemp"
552,0.0384303528042606,"BOGR","zppttemp"
553,2.28105193977906,"BOGR","zppttemp"
554,2.91485407817303,"BOGR","zppttemp"
555,3.39433663382599,"BOGR","zppttemp"
556,0.785085998821044,"BOGR","zppttemp"
557,0.00136470685858127,"BOGR","zppttemp"
558,0.00339325973462628,"BOGR","zppttemp"
559,0.281485858988258,"BOGR","zppttemp"
560,0.184153274317967,"BOGR","zppttemp"
561,1.63708541145523,"BOGR","zppttemp"
562,0.186422145635393,"BOGR","zppttemp"
563,0.0877737831599768,"BOGR","zppttemp"
564,0.000424088994674386,"BOGR","zppttemp"
565,0.0289570265316435,"BOGR","zppttemp"
566,0.00198117508097552,"BOGR","zppttemp"
567,0.0250479012545497,"BOGR","zppttemp"
568,0.00035613037717153,"BOGR","zppttemp"
569,0.00181521000734703,"BOGR","zppttemp"
570,0.0191277154840778,"BOGR","zppttemp"
571,0.00356751766457412,"BOGR","zppttemp"
572,0.000364089995676093,"BOGR","zppttemp"
573,0.00210506084484445,"BOGR","zppttemp"
574,0.101330836643475,"BOGR","zppttemp"
575,0.215446642039226,"BOGR","zppttemp"
576,0.178874901384971,"BOGR","zppttemp"
577,0.137274666621436,"BOGR","zppttemp"
578,0.0303740355443825,"BOGR","zppttemp"
579,1.18511420025418,"BOGR","zppttemp"
580,1.79112277316489,"BOGR","zppttemp"
581,0.000487320416178701,"BOGR","zppttemp"
582,0.224209975932267,"BOGR","zppttemp"
583,4.76138032456844,"BOGR","zppttemp"
584,1.70970940263795,"BOGR","zppttemp"
585,2.05607578638012,"BOGR","zppttemp"
586,0.000120277862676062,"BOGR","zppttemp"
587,3.36867165219008e-05,"BOGR","zppttemp"
588,6.77622302080733e-06,"BOGR","zppttemp"
589,2.96967833192388e-06,"BOGR","zppttemp"
590,0.000100400642904683,"BOGR","zppttemp"
591,0.00011021933091813,"BOGR","zppttemp"
592,0.000127369148297824,"BOGR","zppttemp"
593,0.00419419860995306,"BOGR","zppttemp"
594,1.1096372162134,"BOGR","zppttemp"
595,3.0444332542809,"BOGR","zppttemp"
596,13.8813120033313,"BOGR","zppttemp"
597,8.55275823211009,"BOGR","zppttemp"
598,0.0554214150081002,"BOGR","zppttemp"
599,0.0252800976839326,"BOGR","zppttemp"
600,0.00151117169128922,"BOGR","zppttemp"
601,0.00576249371352342,"BOGR","zppttemp"
602,0.00161661381328855,"BOGR","zppttemp"
603,0.0251319200990061,"BOGR","zppttemp"
604,0.662095603128265,"BOGR","zppttemp"
605,0.0228292114435503,"BOGR","zppttemp"
606,0.165703539829077,"BOGR","zppttemp"
607,0.0676062850971706,"BOGR","zppttemp"
608,0.924870271834748,"BOGR","zppttemp"
609,3.50575847402618,"BOGR","zppttemp"
610,0.310683342540307,"BOGR","zppttemp"
611,3.85295302643544,"BOGR","zppttemp"
612,0.00755951283107965,"BOGR","zppttemp"
613,0.0038727740907074,"BOGR","zppttemp"
614,0.00721489005800462,"BOGR","zppttemp"
615,0.0290860842296297,"BOGR","zppttemp"
616,0.0265246356578683,"BOGR","zppttemp"
617,0.134288514023172,"BOGR","zppttemp"
618,1.02770509466347,"BOGR","zppttemp"
619,4.48964632514479,"BOGR","zppttemp"
620,0.460928913324515,"BOGR","zppttemp"
621,1.11569708976066,"BOGR","zppttemp"
622,0.370199877596914,"BOGR","zppttemp"
623,0.0429335771501305,"BOGR","zppttemp"
624,0.215467540657092,"BOGR","zppttemp"
625,0.0280837286068012,"BOGR","zppttemp"
626,0.126735242755821,"BOGR","zppttemp"
627,9.70532178861825,"BOGR","zppttemp"
628,4.97875668196007,"BOGR","zppttemp"
629,0.126619730293948,"BOGR","zppttemp"
630,0.00056264020668922,"BOGR","zppttemp"
631,0.0101949537929991,"BOGR","zppttemp"
632,0.085170345574058,"BOGR","zppttemp"
633,0.967640644796796,"BOGR","zppttemp"
634,0.273811378158589,"BOGR","zppttemp"
635,0.110010447758701,"BOGR","zppttemp"
636,0.018563305345945,"BOGR","zppttemp"
637,0.0207371934113096,"BOGR","zppttemp"
638,0.00348529298801949,"BOGR","zppttemp"
639,3.33492120288574e-05,"BOGR","zppttemp"
640,4.74159585079479e-06,"BOGR","zppttemp"
641,0.000370569124351942,"BOGR","zppttemp"
642,0.00153623259560021,"BOGR","zppttemp"
643,0.15536256994363,"BOGR","zppttemp"
644,0.00696898442502853,"BOGR","zppttemp"
645,0.2539274022346,"BOGR","zppttemp"
646,0.192718319960136,"BOGR","zppttemp"
647,0.300822242082761,"BOGR","zppttemp"
648,1.30102873364822,"BOGR","zppttemp"
649,1.9092973166574,"BOGR","zppttemp"
650,0.670294949514301,"BOGR","zppttemp"
651,0.00926574110672348,"BOGR","zppttemp"
652,0.000705243158420192,"BOGR","zppttemp"
653,0.000205027870296122,"BOGR","zppttemp"
654,0.00224804124513254,"BOGR","zppttemp"
655,0.000194057609652458,"BOGR","zppttemp"
656,0.000188444816162482,"BOGR","zppttemp"
657,0.0618899235961908,"BOGR","zppttemp"
658,0.0304625468078014,"BOGR","zppttemp"
659,0.0815995219409631,"BOGR","zppttemp"
660,0.0020350585584656,"BOGR","zppttemp"
661,0.00381866275573459,"BOGR","zppttemp"
662,0.0633668868086479,"BOGR","zppttemp"
663,0.293294088587511,"BOGR","zppttemp"
664,0.143596024533455,"BOGR","zppttemp"
665,0.00637921934206168,"BOGR","zppttemp"
666,0.00500365134393924,"BOGR","zppttemp"
667,81.503310025941,"BOGR","zppttemp"
668,0.897265900183909,"BOGR","zppttemp"
669,2.33405579704813,"BOGR","zppttemp"
670,0.177121857290808,"BOGR","zppttemp"
671,0.285503380381091,"BOGR","zppttemp"
672,3.16869860803382,"BOGR","zppttemp"
673,1.28604684618871,"BOGR","zppttemp"
674,0.183961661531697,"BOGR","zppttemp"
675,0.537477923358791,"BOGR","zppttemp"
676,1.78978386652662,"BOGR","zppttemp"
677,1.18910263035796,"BOGR","zppttemp"
678,0.0636236892586143,"BOGR","zppttemp"
679,0.720548668400934,"BOGR","zppttemp"
680,0.00184407519457343,"BOGR","zppttemp"
681,0.0186461189850593,"BOGR","zppttemp"
682,0.00151230212474565,"BOGR","zppttemp"
683,0.0142992396351353,"BOGR","zppttemp"
684,0.503047038297069,"BOGR","zppttemp"
685,1.65258114336349,"BOGR","zppttemp"
686,13.6944748158031,"BOGR","zppttemp"
687,1.42736709432449e-08,"BOGR","zppttemp"
688,2.90142223771454e-08,"BOGR","zppttemp"
