"","x"
"a_mu",1.00928176708099
"a[1]",1.00370423603873
"a[2]",1.0068089878191
"a[3]",1.00771939503282
"a[4]",1.00795854721372
"a[5]",1.00615971907405
"a[6]",1.0095587926816
"a[7]",1.0140446658195
"a[8]",1.01378270542691
"a[9]",1.01207473662812
"a[10]",1.01018847248244
"a[11]",1.00942549181429
"a[12]",1.01012084121754
"a[13]",1.00870307399777
"u",1.00084792926832
"theta",1.00228482408752
"dd",1.00349683935891
"gint[1]",1.01237394278446
"gint[2]",1.00505888357009
"gint[3]",1.01051944260817
"gint[4]",1.0031778430359
"gint[5]",1.00926497856541
"gint[6]",1.00624542489005
"sig_a",1.00051857260748
"sig_G",1.02259575089709
"lp__",1.0133447669537
