"","Mean","SD","Naive SE","Time-series SE","species"
"beta[1,1]",1.67318852142836,0.0962589188102199,0.000555751126869828,0.0024979959639072,"BOGR"
"beta[2,1]",0.962040679244826,0.159362985072318,0.000920082623303649,0.00126128041193477,"HECO"
"beta[3,1]",0.819528040203828,0.134037246164314,0.000773864401544029,0.00169914172614796,"PASM"
"beta[4,1]",0.816322105338701,0.174009304877641,0.00100464319012606,0.00144768776735525,"POSE"
"beta[1,2]",1.59517263947408,0.094164126521012,0.000543656837949123,0.00236675894561894,"BOGR"
"beta[2,2]",0.84058166151214,0.141821001005561,0.000818803931073026,0.00128213409497668,"HECO"
"beta[3,2]",0.971422074584292,0.0717263788127542,0.000414112441155407,0.00101573488381636,"PASM"
"beta[4,2]",0.739021811675239,0.154648072683376,0.000892861063934038,0.00130224916213646,"POSE"
"beta[1,3]",1.62818291218912,0.130816197834531,0.000755267670341298,0.00332526532975666,"BOGR"
"beta[2,3]",0.682676888967276,0.148946171041408,0.000859941119455211,0.00179268680965452,"HECO"
"beta[3,3]",0.883394840768974,0.0971761504411504,0.000561046766160097,0.00132959105087874,"PASM"
"beta[4,3]",0.64352645214609,0.156844972585096,0.000905544871430447,0.00148803313970551,"POSE"
"beta[1,4]",1.77312582275156,0.0907882428047325,0.000524166164225654,0.0011038025490849,"BOGR"
"beta[2,4]",0.569718450097377,0.0964205012224146,0.000556684023361597,0.0012832860944799,"HECO"
"beta[3,4]",1.92322949127477,0.231356760677208,0.00133573888055826,0.00744656210626713,"PASM"
"beta[4,4]",1.05700903854884,0.0999395414886286,0.000577001211811475,0.00104139953479925,"POSE"
"beta[1,5]",1.01095222609217,0.0771244421528884,0.000445278174380699,0.00161269369486326,"BOGR"
"beta[2,5]",0.280391497923444,0.0989907923590001,0.00057152360615763,0.000808349434159177,"HECO"
"beta[3,5]",0.885493854947306,0.118251960290853,0.000682728011061252,0.00187824912807214,"PASM"
"beta[4,5]",0.817073995966007,0.105463072455263,0.00060889133271611,0.000834183575175763,"POSE"
"beta[1,6]",1.50113883168667,0.185884551332154,0.00107320495749812,0.00191562209634003,"BOGR"
"beta[2,6]",0.891246647077284,0.278780186194497,0.00160953815544127,0.00568344219361343,"HECO"
"beta[3,6]",1.38103336533784,0.282667795538346,0.00163198327845302,0.00636097550106984,"PASM"
"beta[4,6]",0.928595800601858,0.109652359458215,0.000633078192504782,0.00095675388515154,"POSE"
"beta[1,7]",1.16525453547561,0.183054890535327,0.00105686790327049,0.00171048103518274,"BOGR"
"beta[2,7]",0.986109917260804,0.240176307803279,0.00138665855963194,0.002665738498918,"HECO"
"beta[3,7]",1.54870721384093,0.233971878713832,0.00135083727158233,0.00576301504805128,"PASM"
"beta[4,7]",0.774528227010546,0.0738121721388841,0.000426154774538557,0.000569281716553445,"POSE"
"beta[1,8]",0.631180241055586,0.122951713164746,0.000709862046929919,0.001046189016224,"BOGR"
"beta[2,8]",1.37120516824053,0.212519980800449,0.00122698468123313,0.00444368742298031,"HECO"
"beta[3,8]",1.63111493811936,0.226590067325212,0.00130821836365907,0.00627682859606374,"PASM"
"beta[4,8]",0.626806245903781,0.0968337231494463,0.000559069761269665,0.000772258332329055,"POSE"
"beta[1,9]",1.04553494315142,0.127356804002333,0.000735294850738774,0.00115381461032055,"BOGR"
"beta[2,9]",0.982767085854002,0.155367249356462,0.000897013232392052,0.00177278593311811,"HECO"
"beta[3,9]",1.76199582972595,0.179028098493679,0.00103361920857832,0.00488595933735918,"PASM"
"beta[4,9]",0.946816948176133,0.0841132756937471,0.000485628223642061,0.00103287442773728,"POSE"
"beta[1,10]",0.59686903590274,0.10570347635662,0.000610279305287739,0.00161160047516679,"BOGR"
"beta[2,10]",0.98976977450529,0.171660185086948,0.000991080540690903,0.00212625219192017,"HECO"
"beta[3,10]",1.4479520245603,0.158218025224802,0.000913472194541905,0.00315991159209873,"PASM"
"beta[4,10]",0.561120389262626,0.0659931671392867,0.000381011728125431,0.000539860494638969,"POSE"
"beta[1,11]",0.83121118759813,0.123120030298008,0.000710833826351895,0.00166497490394664,"BOGR"
"beta[2,11]",0.911078456847473,0.119950206196897,0.000692532838371296,0.00109512517501522,"HECO"
"beta[3,11]",1.82518734916606,0.175466716800828,0.00101305756178778,0.00412132578988027,"PASM"
"beta[4,11]",0.554703254443041,0.0914801637145963,0.000528160971461332,0.000853192860172506,"POSE"
"beta[1,12]",0.324470594424852,0.108946556230855,0.000629003235671666,0.00225008855667073,"BOGR"
"beta[2,12]",1.15876903500422,0.158205002863826,0.000913397009905756,0.00193227369018912,"HECO"
"beta[3,12]",2.13586802171216,0.20321517670294,0.0011732633697286,0.00655943040163858,"PASM"
"beta[4,12]",0.791880513879577,0.125153546037888,0.00072257433495011,0.00147220462897124,"POSE"
"beta[1,13]",0.576399831506655,0.0971463924268418,0.000560874958184381,0.00144566480998193,"BOGR"
"beta[2,13]",0.768546213222843,0.126176682729051,0.000728481417390714,0.0010117577563461,"HECO"
"beta[3,13]",1.79254835184132,0.152783680901955,0.000882096992965255,0.00339235982050596,"PASM"
"beta[4,13]",0.869806678448061,0.113517904286331,0.000655395925975556,0.00133521650395519,"POSE"
"betaSpp[1]",1.10411063327111,0.158471691546504,0.000914936737733093,0.00109802501958935,"BOGR"
"betaSpp[2]",0.876878204957727,0.112560559820373,0.000649868695124271,0.00125478486479933,"HECO"
"betaSpp[3]",1.46051481927993,0.156396390086492,0.00090295497916722,0.00175911863025731,"PASM"
"betaSpp[4]",0.778743724218214,0.0692365256205144,0.000399737267047584,0.00061173723490238,"POSE"
"intG[1,1]",-0.050283017147513,0.189583161986522,0.00109455889606739,0.00960179099754158,"BOGR"
"intG[2,1]",0.056965545475495,0.196054588507477,0.00113192169450653,0.00647880126475245,"HECO"
"intG[3,1]",-0.0698749301434084,0.163579425391735,0.000944426252838023,0.01052723025317,"PASM"
"intG[4,1]",-0.152345060205043,0.201709772910944,0.00116457191688312,0.0105188444135201,"POSE"
"intG[1,2]",0.343384016390184,0.19611873948732,0.00113229207036134,0.0096907175822435,"BOGR"
"intG[2,2]",0.0656541974381189,0.198455467800008,0.00114578317756488,0.00686093775368655,"HECO"
"intG[3,2]",-0.0843485490770734,0.16778803899115,0.000968724694783399,0.0101358203421443,"PASM"
"intG[4,2]",-0.478923281172577,0.223670508429497,0.00129136228251551,0.00947863371097064,"POSE"
"intG[1,3]",-0.496951876070149,0.186555654802882,0.00107707957519291,0.00969558371008698,"BOGR"
"intG[2,3]",0.253969642371082,0.188653861563617,0.00108919357757417,0.00688184148200822,"HECO"
"intG[3,3]",0.0394081252416829,0.16508715768285,0.000953131149279436,0.0100815098227457,"PASM"
"intG[4,3]",0.116387791064136,0.199739510570251,0.00115319660195539,0.0101447163531744,"POSE"
"intG[1,4]",0.250132998387366,0.190777195674019,0.00110145265277637,0.00934718006106098,"BOGR"
"intG[2,4]",-0.0563036023457077,0.197769561564488,0.00114182309606771,0.00652841303148933,"HECO"
"intG[3,4]",-0.0550925013679294,0.178451634769537,0.00103029099371521,0.00944411201670042,"PASM"
"intG[4,4]",0.0355406620822932,0.229493440749888,0.00132498099794201,0.00891141254394836,"POSE"
"intG[1,5]",-0.115882732587748,0.195210500936707,0.0011270483526445,0.00905517457187157,"BOGR"
"intG[2,5]",-0.170246453059242,0.19101638611836,0.00110283361945065,0.00685049118795763,"HECO"
"intG[3,5]",-0.040492947313789,0.169970154436233,0.000981323144179614,0.00994933150195628,"PASM"
"intG[4,5]",0.37685204254874,0.210348895796014,0.00121444991611569,0.0101983163994,"POSE"
"intG[1,6]",-0.018375837411482,0.191937441889524,0.00110815133742485,0.00983793166384418,"BOGR"
"intG[2,6]",-0.156072437289684,0.197985104302191,0.00114306753264406,0.00627629747929881,"HECO"
"intG[3,6]",0.117014012464172,0.165528958879624,0.000955681889678295,0.0100304352978606,"PASM"
"intG[4,6]",0.0317349307411232,0.204251952966968,0.00117924920027986,0.0103369328949794,"POSE"
"intYr[1,1]",-2.80379797665749,0.461811179673629,0.00266626808899349,0.0363680426748916,"BOGR"
"intYr[2,1]",0.449311656230729,0.417428086843924,0.0024100221830665,0.0174649412914268,"HECO"
"intYr[3,1]",1.86541221947442,0.38755226550162,0.0022375340481241,0.0314503240447763,"PASM"
"intYr[4,1]",0.630297595437871,0.435522108614916,0.00251448806646855,0.0138181072350386,"POSE"
"intYr[1,2]",-2.15084503065555,0.602287693189827,0.00347730961792745,0.0515507401227051,"BOGR"
"intYr[2,2]",1.0039500615443,0.454161194993189,0.002622100881848,0.0195644597464802,"HECO"
"intYr[3,2]",1.60260060800491,0.374118812458288,0.00215997597081695,0.0282404134528543,"PASM"
"intYr[4,2]",1.26401880834578,0.44790014568127,0.00258595269679154,0.016823326967698,"POSE"
"intYr[1,3]",-1.43239103036494,0.82644666679358,0.00477149205544143,0.0685790583890787,"BOGR"
"intYr[2,3]",0.570616001748939,0.588438428251226,0.00339735084952366,0.0271183271991994,"HECO"
"intYr[3,3]",2.01874779734313,0.569270966960847,0.00328668746016684,0.049817186479739,"PASM"
"intYr[4,3]",1.01280600088903,0.498026865905328,0.00287535945094107,0.0195742243325731,"POSE"
"intYr[1,4]",-0.945152022176259,0.847268809792805,0.0048917087540985,0.0920894485012299,"BOGR"
"intYr[2,4]",0.672742232455923,0.580326291020012,0.00335051540338221,0.0405351240223875,"HECO"
"intYr[3,4]",2.87542153017836,0.677530001828701,0.00391172128939848,0.0556410476665629,"PASM"
"intYr[4,4]",0.55314613521088,0.530418423559372,0.0030623721962514,0.0274933259245604,"POSE"
"intYr[1,5]",-1.02230997600459,0.570150512110935,0.00329176551645852,0.0480805192458277,"BOGR"
"intYr[2,5]",-0.40446854632311,0.394634154541475,0.00227842135355941,0.0179050964641855,"HECO"
"intYr[3,5]",2.20390749431929,0.378587780909432,0.00218577757219964,0.0284746016028363,"PASM"
"intYr[4,5]",1.20478915074016,0.362431143674505,0.0020924971836318,0.0137395016661573,"POSE"
"intYr[1,6]",1.73223032169614,0.319759434971195,0.00184613195856542,0.0169757541088307,"BOGR"
"intYr[2,6]",2.00053501404983,0.446569074902259,0.00257826775606582,0.0116399068577911,"HECO"
"intYr[3,6]",3.58709464425323,0.414284725667691,0.00239187397885392,0.0130968624252198,"PASM"
"intYr[4,6]",1.29062999506243,0.280959543281003,0.00162212067944681,0.0121832215058908,"POSE"
"intYr[1,7]",1.72427728994245,0.30684790548846,0.00177158720834035,0.0121706986699928,"BOGR"
"intYr[2,7]",2.10048605703363,0.398514561743801,0.00230082489498769,0.00879379046413095,"HECO"
"intYr[3,7]",3.28472051045919,0.354844657780606,0.00204869658690133,0.010613660873268,"PASM"
"intYr[4,7]",0.528647160058708,0.243227625991689,0.00140427535340655,0.0116104456555585,"POSE"
"intYr[1,8]",1.3892912386467,0.288878147876547,0.00166783876439525,0.0114483059018498,"BOGR"
"intYr[2,8]",1.48411464258981,0.350416965890511,0.00202313329585498,0.00947673323458568,"HECO"
"intYr[3,8]",3.45328824619355,0.341149739688487,0.00196962894043119,0.011554422056357,"PASM"
"intYr[4,8]",1.34543791180499,0.253693658747117,0.00146470102169349,0.0113742509573484,"POSE"
"intYr[1,9]",0.288023351948896,0.334308979962616,0.00193013379573926,0.0127918524529038,"BOGR"
"intYr[2,9]",1.35096744609445,0.305961718930366,0.00176647080786167,0.00876454113479838,"HECO"
"intYr[3,9]",3.15693911404511,0.298752604080482,0.00172484896386968,0.0126351140042258,"PASM"
"intYr[4,9]",0.969476597992708,0.240579078843824,0.00138898395931874,0.0119384412474197,"POSE"
"intYr[1,10]",-0.131125462709621,0.452015756956101,0.00260971418956557,0.0265865505587302,"BOGR"
"intYr[2,10]",1.52165507171108,0.3530946644734,0.00203859299583138,0.0114741198518442,"HECO"
"intYr[3,10]",2.6624162437657,0.309987338896766,0.00178971273557423,0.0153814094767235,"PASM"
"intYr[4,10]",-0.115086346626529,0.271931310781901,0.00156999615481018,0.0142162605354054,"POSE"
"intYr[1,11]",-1.02575780441868,0.570218064464266,0.00329215553015231,0.0359833348711351,"BOGR"
"intYr[2,11]",0.314558989020139,0.356434653062284,0.0020578764289402,0.0144108757890419,"HECO"
"intYr[3,11]",2.18572512223106,0.38944692377913,0.00224847286278953,0.0238516836933996,"PASM"
"intYr[4,11]",0.456749315296864,0.333230872221531,0.00192390933779395,0.018421069955243,"POSE"
"intYr[1,12]",-1.02621168720375,0.836346640053675,0.00482864957770828,0.0586134146406944,"BOGR"
"intYr[2,12]",0.131842991943227,0.526202502496166,0.00303803156464416,0.0249729225156176,"HECO"
"intYr[3,12]",2.05792463452014,0.523057963763532,0.00301987656180653,0.0363609975454542,"PASM"
"intYr[4,12]",0.76663614300563,0.497976597324832,0.00287506922515626,0.0289073815710516,"POSE"
"intYr[1,13]",-0.642514130230128,0.737219998259602,0.00425634164447157,0.041677981396885,"BOGR"
"intYr[2,13]",1.0545015026522,0.579510353759571,0.00334580458741264,0.0262439883953941,"HECO"
"intYr[3,13]",2.39338558386993,0.496238153651983,0.00286503231593135,0.0328063761689534,"PASM"
"intYr[4,13]",1.14367855724152,0.483607959128861,0.00279211185385294,0.0242769395022445,"POSE"
"intercept[1]",-0.464290321505431,0.506278271175533,0.00292299896148052,0.0103551779210969,"BOGR"
"intercept[2]",0.939860925489726,0.321617765939005,0.00185686103741051,0.00735574814362311,"HECO"
"intercept[3]",2.56520750033052,0.292230897160008,0.00168719587140856,0.0104073652054428,"PASM"
"intercept[4]",0.850386360036599,0.26208788635802,0.00151316511740143,0.011082309155425,"POSE"
"nb[1]",-0.00566195692943033,0.00150947419237794,8.71495331304197e-06,1.76181117500386e-05,"BOGR"
"nb[2]",0.0041412039505627,0.00315381637548305,1.82085673335979e-05,3.51482971661525e-05,"HECO"
"nb[3]",0.000843237405108652,0.00134052871684035,7.73954615524201e-06,1.56038621771738e-05,"PASM"
"nb[4]",0.00921753086645681,0.00576471443908303,3.32825943320591e-05,7.39546609835093e-05,"POSE"
"rain1[1]",-0.0197586097470842,0.274699353595717,0.00158597745744704,0.0234519227480151,"BOGR"
"rain1[2]",0.00488106647893483,0.26295174720942,0.00151815262035241,0.0188231069876334,"HECO"
"rain1[3]",-0.0175924828709062,0.247477753369563,0.00142881347526361,0.0269574234310843,"PASM"
"rain1[4]",-0.0992571040999806,0.240290581848256,0.00138731832113822,0.0185548076685869,"POSE"
"rain2[1]",0.609609284973276,0.329921388958077,0.00190480202726361,0.034130205488125,"BOGR"
"rain2[2]",0.472648156099849,0.205841361421506,0.00118842565427066,0.0112409945498523,"HECO"
"rain2[3]",0.504249359334373,0.205404268820089,0.00118590209895977,0.0179132733999721,"PASM"
"rain2[4]",0.288622937999092,0.201005504213494,0.00116050581966257,0.0115757749520078,"POSE"
"temp1[1]",-0.41245860548003,0.352551897312735,0.00203545932816821,0.0426686908128737,"BOGR"
"temp1[2]",-0.339374916631392,0.243393296669005,0.00140523185350801,0.0172310579125158,"HECO"
"temp1[3]",-0.572082310354593,0.30554389857135,0.00176405852089417,0.033464278528951,"PASM"
"temp1[4]",-0.0131798162113668,0.238359975107091,0.00137617195792111,0.0151364446288694,"POSE"
"temp2[1]",-0.154120166128011,0.221066304872658,0.00127632690626985,0.0185558946011869,"BOGR"
"temp2[2]",-0.138864996176292,0.207174979594366,0.00119612530238162,0.012926345399535,"HECO"
"temp2[3]",-0.138836218230229,0.190779392408061,0.00110146533562627,0.0175821798844941,"PASM"
"temp2[4]",-0.102424296572401,0.193663608889555,0.00111811736724619,0.012914715498774,"POSE"
