"a1","a2","a3","a4","a5","ar1","ar2","ar3","ar4","ar5","ar6","b1","b2","b2a","b3","b4","b5","g1","g2","g3","g4","g5","g6","h1","h2","h3","i1","i2","i3","i4","i5","i6","i7","j1","j12","j22","j8","j9","k1","k2","k3","l1","l2","l3","l3a","l4","m5","m6","t10","t11","t5","t6","t7","t8","t9","u1","u2","u3","u4","u5","v1","v2","v3","v4","v5","v6","y1","y2","y3","y7"
15,15,15,15,15,NA,NA,NA,NA,NA,NA,15,15,NA,15,15,15,15,15,15,15,15,NA,15,15,15,15,15,15,15,15,15,15,15,NA,NA,NA,NA,15,15,15,15,15,15,NA,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,NA,NA
16,16,16,16,16,NA,NA,NA,NA,NA,NA,16,16,NA,16,16,16,16,16,16,16,16,NA,16,16,16,16,16,16,16,16,16,16,16,NA,16,16,16,16,16,16,16,16,16,NA,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,NA,NA
17,17,17,17,17,NA,NA,NA,NA,NA,NA,17,17,NA,17,17,17,17,17,17,17,17,NA,17,17,17,17,17,NA,17,17,17,17,17,NA,NA,17,NA,NA,17,17,NA,NA,NA,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA
18,18,18,18,18,NA,NA,NA,NA,NA,NA,18,18,NA,18,18,18,18,18,18,18,18,NA,NA,NA,NA,NA,NA,18,NA,18,NA,NA,18,NA,NA,18,NA,18,18,18,NA,18,18,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,NA,NA
19,19,19,19,19,NA,NA,NA,NA,NA,NA,19,19,NA,19,19,19,19,19,19,19,19,NA,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,NA,NA,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,19
20,20,20,20,20,NA,NA,NA,NA,NA,NA,20,20,NA,20,20,20,20,20,20,20,20,NA,20,20,20,20,20,20,20,20,NA,20,20,20,NA,20,20,20,20,20,20,20,20,NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
21,21,21,21,21,NA,NA,NA,NA,NA,NA,21,21,21,21,21,21,21,21,21,21,21,NA,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,NA,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,21,NA
22,22,NA,22,22,NA,NA,NA,NA,NA,NA,22,22,22,22,22,22,22,22,NA,22,22,NA,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,NA,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22
23,23,NA,23,23,NA,NA,NA,NA,NA,NA,23,23,NA,23,23,23,23,23,23,23,23,NA,NA,NA,NA,23,23,23,23,23,23,NA,23,23,NA,23,NA,NA,NA,NA,23,23,23,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,23,NA
24,24,24,24,24,NA,NA,NA,NA,NA,NA,24,24,24,24,24,24,24,24,24,24,24,NA,24,24,NA,24,24,24,24,24,24,24,24,24,NA,24,NA,24,24,24,24,24,24,NA,24,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,24,24
25,25,25,25,25,NA,NA,NA,NA,NA,NA,25,25,25,25,25,25,25,25,25,25,25,NA,NA,NA,NA,25,25,25,25,25,25,25,25,25,NA,25,NA,25,25,25,25,25,25,NA,25,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,NA,NA,NA,NA,26,26,26,26,26,26,26,26,26,NA,26,NA,26,NA,26,NA,NA,NA,NA,NA,26,26,NA,NA,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,26,26
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,NA,27,NA,NA,NA,NA,NA,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,NA,NA,28,28,28,28,28,28,28,NA,28,28,28,28,NA,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,NA,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,NA,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,NA,31,31,31,31,31,31,NA,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,NA,32,32,32,32,32,32,32,32,NA,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,NA,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,NA
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,NA,NA,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,NA,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,NA,36,36,36,36,36,36,NA,NA,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,NA,37,37,37,37,37,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,NA,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,39,39,39,39,39,NA,NA,NA,39,39,39,39,39,39,39,39,39,39,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,39,39,39,39,39,39,39,39,39,39,NA,NA,NA,NA
