"","x"
"a_mu",1.01460217929566
"a[1]",1.00855247863257
"a[2]",1.01255316657978
"a[3]",1.01320135741037
"a[4]",1.0103010547313
"a[5]",1.01472345120956
"a[6]",1.00893441415813
"a[7]",1.01111746566574
"a[8]",1.01350601459823
"a[9]",1.01217103738322
"a[10]",1.01721934267314
"a[11]",1.01134177674995
"a[12]",1.0152483399286
"a[13]",1.00884478111106
"b1_mu",1.01650842064388
"b1[1]",1.00883048414083
"b1[2]",1.01395506183031
"b1[3]",1.01363157259183
"b1[4]",1.0090679823575
"b1[5]",1.01429322710506
"b1[6]",1.00799304413693
"b1[7]",1.0073030768282
"b1[8]",1.01150467268278
"b1[9]",1.01028937506033
"b1[10]",1.01278297008022
"b1[11]",1.0104143655119
"b1[12]",1.01417101873654
"b1[13]",1.0106361455747
"tau",1.00233492861765
"gint[1]",1.01144805721462
"gint[2]",1.00211250704165
"gint[3]",1.00448154283227
"gint[4]",1.00256675539604
"gint[5]",1.00541874017654
"gint[6]",1.0079979334676
"sig_a",1.00569223509609
"sig_b1",1.00736472385062
"sig_G",1.00222532053197
"lp__",1.01032058213431
