"","quad","year","NRquad","totPnumber","totOldPnumber","QuadName","Grazing","Group"
"1","Q1",33,0,2,0,"E1 Q1","no","E1"
"2","Q1",34,0,1,1,"E1 Q1","no","E1"
"3","Q1",35,0,1,1,"E1 Q1","no","E1"
"4","Q23",32,6,12,0,"P10 E1 Q1","no","P10E1"
"5","Q23",33,2,15,9,"P10 E1 Q1","no","P10E1"
"6","Q23",34,9,8,6,"P10 E1 Q1","no","P10E1"
"7","Q23",35,5,16,7,"P10 E1 Q1","no","P10E1"
"8","Q23",36,12,19,14,"P10 E1 Q1","no","P10E1"
"9","Q23",37,1,24,12,"P10 E1 Q1","no","P10E1"
"10","Q23",38,15,17,16,"P10 E1 Q1","no","P10E1"
"11","Q23",39,3,28,13,"P10 E1 Q1","no","P10E1"
"12","Q23",40,11,18,15,"P10 E1 Q1","no","P10E1"
"13","Q23",41,17,29,18,"P10 E1 Q1","no","P10E1"
"14","Q23",45,10,58,0,"P10 E1 Q1","no","P10E1"
"15","Q23",46,7,52,42,"P10 E1 Q1","no","P10E1"
"16","Q23",49,20,43,29,"P10 E1 Q1","no","P10E1"
"17","Q23",50,6,59,39,"P10 E1 Q1","no","P10E1"
"18","Q23",51,10,43,37,"P10 E1 Q1","no","P10E1"
"19","Q23",54,19,39,28,"P10 E1 Q1","no","P10E1"
"20","Q23",55,0,48,29,"P10 E1 Q1","no","P10E1"
"21","Q25",32,0,33,0,"P10 E1 Q3","no","P10E1"
"22","Q25",34,0,1,1,"P10 E1 Q3","no","P10E1"
"23","Q26",32,64,184,0,"P10 E1 Q4","no","P10E1"
"24","Q26",33,18,169,105,"P10 E1 Q4","no","P10E1"
"25","Q26",34,59,89,71,"P10 E1 Q4","no","P10E1"
"26","Q26",35,44,164,105,"P10 E1 Q4","no","P10E1"
"27","Q26",36,48,172,128,"P10 E1 Q4","no","P10E1"
"28","Q26",37,28,183,135,"P10 E1 Q4","no","P10E1"
"29","Q26",38,83,124,96,"P10 E1 Q4","no","P10E1"
"30","Q26",39,38,180,97,"P10 E1 Q4","no","P10E1"
"31","Q26",40,69,132,94,"P10 E1 Q4","no","P10E1"
"32","Q26",41,108,197,128,"P10 E1 Q4","no","P10E1"
"33","Q26",45,60,262,0,"P10 E1 Q4","no","P10E1"
"34","Q26",46,46,188,128,"P10 E1 Q4","no","P10E1"
"35","Q26",49,172,31,21,"P10 E1 Q4","no","P10E1"
"36","Q26",50,45,193,21,"P10 E1 Q4","no","P10E1"
"37","Q26",51,29,162,117,"P10 E1 Q4","no","P10E1"
"38","Q26",54,98,127,87,"P10 E1 Q4","no","P10E1"
"39","Q26",55,0,198,100,"P10 E1 Q4","no","P10E1"
"40","Q3",33,0,2,0,"E1 Q3","no","E1"
"41","Q3",34,1,1,1,"E1 Q3","no","E1"
"42","Q3",35,0,2,1,"E1 Q3","no","E1"
"43","Q4",32,2,15,0,"E1 Q4","no","E1"
"44","Q4",33,3,14,12,"E1 Q4","no","E1"
"45","Q4",34,4,12,9,"E1 Q4","no","E1"
"46","Q4",35,16,15,11,"E1 Q4","no","E1"
"47","Q4",36,5,31,15,"E1 Q4","no","E1"
"48","Q4",37,9,23,18,"E1 Q4","no","E1"
"49","Q4",38,10,27,18,"E1 Q4","no","E1"
"50","Q4",39,3,31,21,"E1 Q4","no","E1"
"51","Q4",40,10,22,19,"E1 Q4","no","E1"
"52","Q4",41,13,31,21,"E1 Q4","no","E1"
"53","Q4",45,11,43,0,"E1 Q4","no","E1"
"54","Q4",46,3,46,35,"E1 Q4","no","E1"
"55","Q4",49,10,32,21,"E1 Q4","no","E1"
"56","Q4",50,14,26,16,"E1 Q4","no","E1"
"57","Q4",51,16,35,21,"E1 Q4","no","E1"
"58","Q4",54,15,36,26,"E1 Q4","no","E1"
"59","Q4",55,0,44,29,"E1 Q4","no","E1"
"60","Q5",33,0,2,0,"E1 Q5","no","E1"
"61","Q5",34,0,1,1,"E1 Q5","no","E1"
"62","Q5",35,0,1,1,"E1 Q5","no","E1"
"63","Q5",38,1,3,0,"E1 Q5","no","E1"
"64","Q5",39,0,2,1,"E1 Q5","no","E1"
