"","quad","year","NRquad","totPnumber","totOldPnumber","AvgA","QuadName","Grazing","Group"
"1","Q10",39,0,1,1,1,"P1 E1 Q4","no","P1E1"
"2","Q10",40,0,1,1,2,"P1 E1 Q4","no","P1E1"
"3","Q14",30,0,1,1,1,"P1 Q4","yes","P1"
"4","Q14",32,0,1,1,3,"P1 Q4","yes","P1"
"5","Q14",56,0,4,4,1,"P1 Q4","yes","P1"
"6","Q20",45,15,4,4,1,"P7 E1 Q2","no","P7E1"
"7","Q20",46,11,18,18,1.16666666666667,"P7 E1 Q2","no","P7E1"
"8","Q20",49,10,54,54,1.79629629629630,"P7 E1 Q2","no","P7E1"
"9","Q20",50,10,38,38,2.57894736842105,"P7 E1 Q2","no","P7E1"
"10","Q20",51,12,38,38,2.89473684210526,"P7 E1 Q2","no","P7E1"
"11","Q20",54,14,40,40,3.45,"P7 E1 Q2","no","P7E1"
"12","Q20",55,10,38,38,3.10526315789474,"P7 E1 Q2","no","P7E1"
"13","Q21",31,0,2,2,1,"P7 E1 Q3","no","P7E1"
"14","Q21",45,3,7,7,1,"P7 E1 Q3","no","P7E1"
"15","Q21",46,2,8,8,1.625,"P7 E1 Q3","no","P7E1"
"16","Q21",49,5,15,15,2.4,"P7 E1 Q3","no","P7E1"
"17","Q21",50,3,14,14,2.78571428571429,"P7 E1 Q3","no","P7E1"
"18","Q21",51,5,14,14,3.14285714285714,"P7 E1 Q3","no","P7E1"
"19","Q21",54,13,21,21,2.57142857142857,"P7 E1 Q3","no","P7E1"
"20","Q21",55,2,26,26,2.19230769230769,"P7 E1 Q3","no","P7E1"
"21","Q22",49,2,2,2,1,"P7 E1 Q4","no","P7E1"
"22","Q22",50,8,3,3,1.33333333333333,"P7 E1 Q4","no","P7E1"
"23","Q22",51,7,12,12,1.5,"P7 E1 Q4","no","P7E1"
"24","Q22",54,9,20,20,2.35,"P7 E1 Q4","no","P7E1"
"25","Q22",55,14,17,17,1.94117647058824,"P7 E1 Q4","no","P7E1"
"26","Q26",51,0,1,1,1,"P10 E1 Q4","no","P10E1"
"27","Q26",54,1,2,2,1,"P10 E1 Q4","no","P10E1"
"28","Q26",55,0,3,3,1.66666666666667,"P10 E1 Q4","no","P10E1"
"29","Q5",32,0,1,1,1,"E1 Q5","no","E1"
"30","Q5",33,0,1,1,2,"E1 Q5","no","E1"
"31","Q5",36,1,2,2,1,"E1 Q5","no","E1"
"32","Q5",37,0,3,3,1.66666666666667,"E1 Q5","no","E1"
"33","Q5",38,0,2,2,3,"E1 Q5","no","E1"
"34","Q5",39,2,2,2,4,"E1 Q5","no","E1"
"35","Q5",40,3,4,4,3,"E1 Q5","no","E1"
"36","Q5",41,0,6,6,2.16666666666667,"E1 Q5","no","E1"
"37","Q5",45,17,26,26,1,"E1 Q5","no","E1"
"38","Q5",46,8,36,36,1.52777777777778,"E1 Q5","no","E1"
"39","Q5",49,2,10,10,2.4,"E1 Q5","no","E1"
"40","Q5",50,2,9,9,3,"E1 Q5","no","E1"
"41","Q5",51,4,6,6,3,"E1 Q5","no","E1"
"42","Q5",54,1,5,5,4.4,"E1 Q5","no","E1"
"43","Q5",55,1,2,2,1.5,"E1 Q5","no","E1"
"44","Q6",46,4,9,9,1,"E1 Q6","no","E1"
"45","Q6",49,3,12,12,2.16666666666667,"E1 Q6","no","E1"
"46","Q6",50,2,8,8,3,"E1 Q6","no","E1"
"47","Q6",51,0,4,4,2.75,"E1 Q6","no","E1"
"48","Q6",55,0,9,9,1,"E1 Q6","no","E1"
"49","Q8",36,0,1,1,1,"P1 E1 Q2","no","P1E1"
