"","quad","year","NRquad","totPnumber","totOldPnumber","AvgA","QuadName","Grazing","Group"
"1","Q1",32,8,11,11,1,"E1 Q1","no","E1"
"2","Q1",33,3,14,14,1.42857142857143,"E1 Q1","no","E1"
"3","Q1",34,5,15,15,2.26666666666667,"E1 Q1","no","E1"
"4","Q1",35,1,19,19,2.84210526315789,"E1 Q1","no","E1"
"5","Q1",36,9,13,13,4.15384615384615,"E1 Q1","no","E1"
"6","Q1",37,21,22,22,3.63636363636364,"E1 Q1","no","E1"
"7","Q1",38,6,21,21,1,"E1 Q1","no","E1"
"8","Q1",39,3,25,25,2.08,"E1 Q1","no","E1"
"9","Q1",40,15,23,23,2.95652173913043,"E1 Q1","no","E1"
"10","Q1",41,20,17,17,1.35294117647059,"E1 Q1","no","E1"
"11","Q1",45,2,17,17,2.70588235294118,"E1 Q1","no","E1"
"12","Q1",46,3,7,7,3.28571428571429,"E1 Q1","no","E1"
"13","Q1",49,2,12,12,2.08333333333333,"E1 Q1","no","E1"
"14","Q1",50,3,8,8,2.875,"E1 Q1","no","E1"
"15","Q1",51,3,9,9,3.11111111111111,"E1 Q1","no","E1"
"16","Q1",54,2,6,6,4,"E1 Q1","no","E1"
"17","Q1",55,1,8,8,2.75,"E1 Q1","no","E1"
"18","Q10",30,6,46,46,1,"P1 E1 Q4","no","P1E1"
"19","Q10",31,2,25,25,1.76,"P1 E1 Q4","no","P1E1"
"20","Q10",32,10,14,14,2.57142857142857,"P1 E1 Q4","no","P1E1"
"21","Q10",33,4,30,30,2.83333333333333,"P1 E1 Q4","no","P1E1"
"22","Q10",34,8,27,27,3.92592592592593,"P1 E1 Q4","no","P1E1"
"23","Q10",35,11,33,33,4.09090909090909,"P1 E1 Q4","no","P1E1"
"24","Q10",36,11,32,32,3.84375,"P1 E1 Q4","no","P1E1"
"25","Q10",37,7,44,44,4.65909090909091,"P1 E1 Q4","no","P1E1"
"26","Q10",38,19,40,40,5,"P1 E1 Q4","no","P1E1"
"27","Q10",39,17,53,53,4.73584905660377,"P1 E1 Q4","no","P1E1"
"28","Q10",40,5,59,59,4.94915254237288,"P1 E1 Q4","no","P1E1"
"29","Q10",41,5,51,51,5.98039215686275,"P1 E1 Q4","no","P1E1"
"30","Q10",45,2,6,6,5.5,"P1 E1 Q4","no","P1E1"
"31","Q10",46,2,4,4,3.5,"P1 E1 Q4","no","P1E1"
"32","Q10",49,3,6,6,4.5,"P1 E1 Q4","no","P1E1"
"33","Q10",50,0,8,8,4.25,"P1 E1 Q4","no","P1E1"
"34","Q10",51,1,5,5,7,"P1 E1 Q4","no","P1E1"
"35","Q10",54,1,3,3,4,"P1 E1 Q4","no","P1E1"
"36","Q10",55,2,7,7,7.28571428571429,"P1 E1 Q4","no","P1E1"
"37","Q10",56,1,9,9,6.66666666666667,"P1 E1 Q4","no","P1E1"
"38","Q11",30,5,11,11,1,"P1 Q1","yes","P1"
"39","Q11",31,0,10,10,1.5,"P1 Q1","yes","P1"
"40","Q11",32,8,3,3,3,"P1 Q1","yes","P1"
"41","Q11",33,7,12,12,2,"P1 Q1","yes","P1"
"42","Q11",34,3,13,13,2.30769230769231,"P1 Q1","yes","P1"
"43","Q11",35,3,8,8,3.375,"P1 Q1","yes","P1"
"44","Q11",36,0,8,8,3.5,"P1 Q1","yes","P1"
"45","Q11",37,1,7,7,5.57142857142857,"P1 Q1","yes","P1"
"46","Q11",38,1,7,7,5.28571428571429,"P1 Q1","yes","P1"
"47","Q11",39,2,4,4,5,"P1 Q1","yes","P1"
"48","Q11",40,0,4,4,3.75,"P1 Q1","yes","P1"
"49","Q11",41,0,2,2,5.5,"P1 Q1","yes","P1"
"50","Q11",45,1,2,2,3.5,"P1 Q1","yes","P1"
"51","Q11",46,3,3,3,3.33333333333333,"P1 Q1","yes","P1"
"52","Q11",49,1,5,5,5,"P1 Q1","yes","P1"
"53","Q12",30,1,2,2,1,"P1 Q2","yes","P1"
"54","Q12",31,0,2,2,1.5,"P1 Q2","yes","P1"
"55","Q12",33,0,1,1,4,"P1 Q2","yes","P1"
"56","Q12",34,0,1,1,5,"P1 Q2","yes","P1"
"57","Q12",35,3,1,1,6,"P1 Q2","yes","P1"
"58","Q12",36,4,4,4,2.5,"P1 Q2","yes","P1"
"59","Q12",37,2,5,5,2.4,"P1 Q2","yes","P1"
"60","Q12",38,2,5,5,3,"P1 Q2","yes","P1"
"61","Q12",39,5,5,5,2,"P1 Q2","yes","P1"
"62","Q12",40,5,9,9,2.22222222222222,"P1 Q2","yes","P1"
"63","Q12",45,14,19,19,2.73684210526316,"P1 Q2","yes","P1"
"64","Q12",46,8,22,22,1.90909090909091,"P1 Q2","yes","P1"
"65","Q12",49,5,26,26,3.84615384615385,"P1 Q2","yes","P1"
"66","Q12",50,6,25,25,4.16,"P1 Q2","yes","P1"
"67","Q12",51,11,24,24,4.54166666666667,"P1 Q2","yes","P1"
"68","Q12",54,5,32,32,4.84375,"P1 Q2","yes","P1"
"69","Q12",55,1,31,31,5.90322580645161,"P1 Q2","yes","P1"
"70","Q12",56,1,24,24,7.04166666666667,"P1 Q2","yes","P1"
"71","Q13",36,0,1,1,1,"P1 Q3","yes","P1"
"72","Q13",45,3,2,2,2.5,"P1 Q3","yes","P1"
"73","Q13",46,0,3,3,1,"P1 Q3","yes","P1"
"74","Q14",36,0,2,2,1,"P1 Q4","yes","P1"
"75","Q14",45,1,1,1,1,"P1 Q4","yes","P1"
"76","Q14",46,0,1,1,1,"P1 Q4","yes","P1"
"77","Q14",56,0,1,1,1,"P1 Q4","yes","P1"
"78","Q16",30,1,1,1,1,"P2 Q2","yes","P2"
"79","Q16",31,0,1,1,1,"P2 Q2","yes","P2"
"80","Q18",30,2,9,9,1,"P2 Q4","yes","P2"
"81","Q18",31,1,9,9,1.77777777777778,"P2 Q4","yes","P2"
"82","Q18",34,6,10,10,3.6,"P2 Q4","yes","P2"
"83","Q18",56,5,6,6,2.33333333333333,"P2 Q4","yes","P2"
"84","Q19",26,3,8,8,1,"P7 E1 Q1","no","P7E1"
"85","Q19",29,0,13,13,1.61538461538462,"P7 E1 Q1","no","P7E1"
"86","Q19",30,4,7,7,2.85714285714286,"P7 E1 Q1","no","P7E1"
"87","Q19",31,5,8,8,2.625,"P7 E1 Q1","no","P7E1"
"88","Q19",32,7,9,9,2.66666666666667,"P7 E1 Q1","no","P7E1"
"89","Q19",33,2,19,19,2.94736842105263,"P7 E1 Q1","no","P7E1"
"90","Q19",34,12,14,14,3.5,"P7 E1 Q1","no","P7E1"
"91","Q19",35,10,27,27,3.37037037037037,"P7 E1 Q1","no","P7E1"
"92","Q19",36,5,29,29,3.34482758620690,"P7 E1 Q1","no","P7E1"
"93","Q19",37,7,28,28,4.5,"P7 E1 Q1","no","P7E1"
"94","Q19",38,6,36,36,4.47222222222222,"P7 E1 Q1","no","P7E1"
"95","Q19",39,10,32,32,4.96875,"P7 E1 Q1","no","P7E1"
"96","Q19",40,6,38,38,4.71052631578947,"P7 E1 Q1","no","P7E1"
"97","Q19",41,2,40,40,5.15,"P7 E1 Q1","no","P7E1"
"98","Q19",45,6,20,20,7.1,"P7 E1 Q1","no","P7E1"
"99","Q19",46,0,22,22,8.22727272727273,"P7 E1 Q1","no","P7E1"
"100","Q19",49,1,9,9,10.3333333333333,"P7 E1 Q1","no","P7E1"
"101","Q19",50,2,13,13,9.07692307692308,"P7 E1 Q1","no","P7E1"
"102","Q19",51,1,11,11,8.54545454545454,"P7 E1 Q1","no","P7E1"
"103","Q19",54,10,14,14,7.21428571428571,"P7 E1 Q1","no","P7E1"
"104","Q19",55,4,22,22,5.22727272727273,"P7 E1 Q1","no","P7E1"
"105","Q2",32,3,15,15,1,"E1 Q2","no","E1"
"106","Q2",33,3,17,17,1.82352941176471,"E1 Q2","no","E1"
"107","Q2",34,3,14,14,2.42857142857143,"E1 Q2","no","E1"
"108","Q2",35,25,17,17,3,"E1 Q2","no","E1"
"109","Q2",36,21,35,35,1.85714285714286,"E1 Q2","no","E1"
"110","Q2",37,16,47,47,2.38297872340426,"E1 Q2","no","E1"
"111","Q2",38,9,54,54,2.96296296296296,"E1 Q2","no","E1"
"112","Q2",39,37,53,53,3.64150943396226,"E1 Q2","no","E1"
"113","Q2",40,26,86,86,3.18604651162791,"E1 Q2","no","E1"
"114","Q2",41,27,97,97,3.47422680412371,"E1 Q2","no","E1"
"115","Q2",45,9,54,54,5.87037037037037,"E1 Q2","no","E1"
"116","Q2",46,4,42,42,6.11904761904762,"E1 Q2","no","E1"
"117","Q2",49,4,25,25,7.12,"E1 Q2","no","E1"
"118","Q2",50,5,27,27,6.81481481481481,"E1 Q2","no","E1"
"119","Q2",51,3,25,25,7.28,"E1 Q2","no","E1"
"120","Q2",54,10,23,23,7.1304347826087,"E1 Q2","no","E1"
"121","Q2",55,1,35,35,6.62857142857143,"E1 Q2","no","E1"
"122","Q20",26,2,8,8,1,"P7 E1 Q2","no","P7E1"
"123","Q20",29,5,5,5,3,"P7 E1 Q2","no","P7E1"
"124","Q20",30,2,11,11,2.72727272727273,"P7 E1 Q2","no","P7E1"
"125","Q20",31,16,5,5,3,"P7 E1 Q2","no","P7E1"
"126","Q20",32,13,27,27,2.40740740740741,"P7 E1 Q2","no","P7E1"
"127","Q20",33,9,32,32,2.65625,"P7 E1 Q2","no","P7E1"
"128","Q20",34,16,30,30,2.76666666666667,"P7 E1 Q2","no","P7E1"
"129","Q20",35,26,42,42,3.19047619047619,"P7 E1 Q2","no","P7E1"
"130","Q20",36,6,59,59,2.98305084745763,"P7 E1 Q2","no","P7E1"
"131","Q20",37,14,44,44,3.88636363636364,"P7 E1 Q2","no","P7E1"
"132","Q20",38,29,60,60,4.16666666666667,"P7 E1 Q2","no","P7E1"
"133","Q20",39,35,80,80,3.8,"P7 E1 Q2","no","P7E1"
"134","Q20",40,25,94,94,3.62765957446809,"P7 E1 Q2","no","P7E1"
"135","Q20",41,47,106,106,4.02830188679245,"P7 E1 Q2","no","P7E1"
"136","Q20",45,15,94,94,5.37234042553191,"P7 E1 Q2","no","P7E1"
"137","Q20",46,11,68,68,5.42647058823529,"P7 E1 Q2","no","P7E1"
"138","Q20",49,5,21,21,8.19047619047619,"P7 E1 Q2","no","P7E1"
"139","Q20",50,4,22,22,8.27272727272727,"P7 E1 Q2","no","P7E1"
"140","Q20",51,4,21,21,8.19047619047619,"P7 E1 Q2","no","P7E1"
"141","Q20",54,6,12,12,8.91666666666667,"P7 E1 Q2","no","P7E1"
"142","Q20",55,3,24,24,8.66666666666667,"P7 E1 Q2","no","P7E1"
"143","Q21",33,0,1,1,1,"P7 E1 Q3","no","P7E1"
"144","Q21",36,1,3,3,1,"P7 E1 Q3","no","P7E1"
"145","Q21",37,3,2,2,1.5,"P7 E1 Q3","no","P7E1"
"146","Q21",38,1,4,4,1.25,"P7 E1 Q3","no","P7E1"
"147","Q21",39,0,4,4,2,"P7 E1 Q3","no","P7E1"
"148","Q21",40,2,4,4,3.5,"P7 E1 Q3","no","P7E1"
"149","Q21",41,4,3,3,2.33333333333333,"P7 E1 Q3","no","P7E1"
"150","Q21",45,3,16,16,2.5,"P7 E1 Q3","no","P7E1"
"151","Q21",46,2,13,13,2.92307692307692,"P7 E1 Q3","no","P7E1"
"152","Q21",49,0,4,4,7.75,"P7 E1 Q3","no","P7E1"
"153","Q21",50,0,1,1,9,"P7 E1 Q3","no","P7E1"
"154","Q21",51,1,2,2,6.5,"P7 E1 Q3","no","P7E1"
"155","Q21",54,4,5,5,4.4,"P7 E1 Q3","no","P7E1"
"156","Q21",55,0,6,6,4.16666666666667,"P7 E1 Q3","no","P7E1"
"157","Q22",30,0,1,1,1,"P7 E1 Q4","no","P7E1"
"158","Q22",33,0,3,3,1,"P7 E1 Q4","no","P7E1"
"159","Q22",34,3,3,3,2,"P7 E1 Q4","no","P7E1"
"160","Q22",35,2,5,5,1.8,"P7 E1 Q4","no","P7E1"
"161","Q22",36,1,6,6,2,"P7 E1 Q4","no","P7E1"
"162","Q22",37,0,5,5,2.4,"P7 E1 Q4","no","P7E1"
"163","Q22",38,2,4,4,3.25,"P7 E1 Q4","no","P7E1"
"164","Q22",39,6,3,3,2.33333333333333,"P7 E1 Q4","no","P7E1"
"165","Q22",40,2,10,10,2.5,"P7 E1 Q4","no","P7E1"
"166","Q22",41,8,10,10,2.8,"P7 E1 Q4","no","P7E1"
"167","Q22",45,0,4,4,5.25,"P7 E1 Q4","no","P7E1"
