"time","cover","species","climsim","vital"
500,0.00314652286318876,2,"all","all"
501,0.0371624209622538,2,"all","all"
502,0.00342793378699615,2,"all","all"
503,0.00729274983212877,2,"all","all"
504,0.00212408542512444,2,"all","all"
505,0.00591540891160455,2,"all","all"
506,0.00437718478206217,2,"all","all"
507,0.0056823311619523,2,"all","all"
508,0.0514334708342774,2,"all","all"
509,0.0746086140560966,2,"all","all"
510,0.0704961291319262,2,"all","all"
511,0.0460375694679367,2,"all","all"
512,0.0376095328825497,2,"all","all"
513,0.0051371161536133,2,"all","all"
514,0.00170613646569285,2,"all","all"
515,0.000799628448519626,2,"all","all"
516,0.00152175968768026,2,"all","all"
517,0.00311465731015213,2,"all","all"
518,0.00336427081732637,2,"all","all"
519,0.00552246177680432,2,"all","all"
520,0.0307599226622404,2,"all","all"
521,0.0364325457445572,2,"all","all"
522,0.0196857221624063,2,"all","all"
523,0.0134955240630442,2,"all","all"
524,0.0119867383388085,2,"all","all"
525,0.0690537796255372,2,"all","all"
526,0.103766204009272,2,"all","all"
527,0.0700833340889147,2,"all","all"
528,0.0833541972870332,2,"all","all"
529,0.0543220111824252,2,"all","all"
530,0.0277296246163459,2,"all","all"
531,0.00310479878158925,2,"all","all"
532,0.0553988252554557,2,"all","all"
533,0.103056181645049,2,"all","all"
534,0.0722597151781373,2,"all","all"
535,0.062583807544066,2,"all","all"
536,0.118481735593933,2,"all","all"
537,0.0769167624915267,2,"all","all"
538,0.00900720460413052,2,"all","all"
539,0.0731331775489168,2,"all","all"
540,0.0365075534343631,2,"all","all"
541,0.0039101374300171,2,"all","all"
542,0.00165279424362071,2,"all","all"
543,0.00359721528081935,2,"all","all"
544,0.00423071923721122,2,"all","all"
545,0.00921352307104997,2,"all","all"
546,0.00871935968698276,2,"all","all"
547,0.035923196537756,2,"all","all"
548,0.082504139496696,2,"all","all"
549,0.0535942790880265,2,"all","all"
550,0.0206715823565102,2,"all","all"
551,0.0263200947721914,2,"all","all"
552,0.0191767531458559,2,"all","all"
553,0.0156071539199076,2,"all","all"
554,0.0156229494831274,2,"all","all"
555,0.0158746337997777,2,"all","all"
556,0.00977319487173691,2,"all","all"
557,0.00195145026988142,2,"all","all"
558,0.0451297907989743,2,"all","all"
559,0.0212993323047018,2,"all","all"
560,0.0295935431082111,2,"all","all"
561,0.035530553137383,2,"all","all"
562,0.0189401899775563,2,"all","all"
563,0.0252069772568289,2,"all","all"
564,0.107593558021028,2,"all","all"
565,0.0478969614607318,2,"all","all"
566,0.0487695612748112,2,"all","all"
567,0.0210487616842145,2,"all","all"
568,0.110543789693977,2,"all","all"
569,0.049900533793722,2,"all","all"
570,0.131392389950776,2,"all","all"
571,0.0836064760591197,2,"all","all"
572,0.064615984886642,2,"all","all"
573,0.0273622703583498,2,"all","all"
574,0.0212468128835007,2,"all","all"
575,0.0124540265471733,2,"all","all"
576,0.0213371797210661,2,"all","all"
577,0.0261114254287552,2,"all","all"
578,0.0133839460750679,2,"all","all"
579,0.012356718475444,2,"all","all"
580,0.0853156250386653,2,"all","all"
581,0.0104268124429103,2,"all","all"
582,0.093879799508602,2,"all","all"
583,0.0446364838856526,2,"all","all"
584,0.0280685842595194,2,"all","all"
585,0.0835370589588069,2,"all","all"
586,0.0106326022160466,2,"all","all"
587,0.01306459199592,2,"all","all"
588,0.0205994937894456,2,"all","all"
589,0.10873302050184,2,"all","all"
590,0.0500178565148385,2,"all","all"
591,0.0508612664493426,2,"all","all"
592,0.033653756654524,2,"all","all"
593,0.0248002304599872,2,"all","all"
