"time","cover","species","climsim","vital"
500,0.000255237278224074,3,"temp","growth_rec"
501,0.000453749039052309,3,"temp","growth_rec"
502,0.000259704006022134,3,"temp","growth_rec"
503,0.000263198373413741,3,"temp","growth_rec"
504,0.000169768589332928,3,"temp","growth_rec"
505,0.000242111124968257,3,"temp","growth_rec"
506,0.000286416977492796,3,"temp","growth_rec"
507,0.000296673156475752,3,"temp","growth_rec"
508,0.000501771804047178,3,"temp","growth_rec"
509,0.000393126731524333,3,"temp","growth_rec"
510,0.000540479552022744,3,"temp","growth_rec"
511,0.000792526509488455,3,"temp","growth_rec"
512,0.00102760400410812,3,"temp","growth_rec"
513,0.000536573696812082,3,"temp","growth_rec"
514,0.000317191409592028,3,"temp","growth_rec"
515,0.000197847387434025,3,"temp","growth_rec"
516,0.000224116762823344,3,"temp","growth_rec"
517,0.000216168456144925,3,"temp","growth_rec"
518,0.000236074338974745,3,"temp","growth_rec"
519,0.000231418676945343,3,"temp","growth_rec"
520,0.000428021832856695,3,"temp","growth_rec"
521,0.000638233115078883,3,"temp","growth_rec"
522,0.000533481658390767,3,"temp","growth_rec"
523,0.000496937321061628,3,"temp","growth_rec"
524,0.000488063786063207,3,"temp","growth_rec"
525,0.000694977589681181,3,"temp","growth_rec"
526,0.000888012150279821,3,"temp","growth_rec"
527,0.000937916960156331,3,"temp","growth_rec"
528,0.00134476823211434,3,"temp","growth_rec"
529,0.00172673910262318,3,"temp","growth_rec"
530,0.00132838166232749,3,"temp","growth_rec"
531,0.000715957489383586,3,"temp","growth_rec"
532,0.00129050841202207,3,"temp","growth_rec"
533,0.00104560088814917,3,"temp","growth_rec"
534,0.000918872891762027,3,"temp","growth_rec"
535,0.00119673746293657,3,"temp","growth_rec"
536,0.00190701344302416,3,"temp","growth_rec"
537,0.00253272210838536,3,"temp","growth_rec"
538,0.00126288811714622,3,"temp","growth_rec"
539,0.00195805259553748,3,"temp","growth_rec"
540,0.00160816296897041,3,"temp","growth_rec"
541,0.000888624653216774,3,"temp","growth_rec"
542,0.000541555808997773,3,"temp","growth_rec"
543,0.000628516594149173,3,"temp","growth_rec"
544,0.000497817581853851,3,"temp","growth_rec"
545,0.000690924894509077,3,"temp","growth_rec"
