"","Point est.","Upper C.I."
"beta[1]",1.00007903762329,1.0001721405352
"beta[2]",1.00018434850017,1.00053573619585
"beta[3]",1.00012306713513,1.00015231972266
"beta[4]",1.00037396198047,1.00124492374583
"beta[5]",1.00030211458079,1.00079879398163
"beta[6]",1.00015882524297,1.0003885009868
"beta[7]",1.00031259220374,1.00049817981091
"beta[8]",1.00002661963984,1.00013645385417
"beta[9]",1.00005001050637,1.0000820731973
"beta[10]",1.00006911707941,1.00028481831979
"beta[11]",1.00015892373247,1.0002801559114
"beta[12]",1.00003315960484,1.00012943873807
"beta[13]",1.0000105691338,1.00007394905888
"intG[1]",1.00813157219016,1.02399778043123
"intG[2]",1.00500935679376,1.0152531663624
"intG[3]",1.00752603489808,1.02275642622633
"intG[4]",1.0053278692597,1.01607936699241
"intG[5]",1.00752057783314,1.023757012763
"intG[6]",1.0072005955011,1.02141857667735
"intYr[1]",1.00195187709091,1.00717954777439
"intYr[2]",1.00146027363909,1.00498873424191
"intYr[3]",1.00815460508095,1.02743744139189
"intYr[4]",1.00136490602797,1.00283192880133
"intYr[5]",1.00393393463599,1.01197757561426
"intYr[6]",1.00528716488132,1.01325215692476
"intYr[7]",1.00266423278277,1.00879308071111
"intYr[8]",1.00224252025818,1.00805067291495
"intYr[9]",1.00250471733943,1.00821373173128
"intYr[10]",1.00200819759022,1.00676636361065
"intYr[11]",1.00044840131525,1.00115632577639
"intYr[12]",1.00190492540903,1.00657268125
"intYr[13]",1.00646891591058,1.02005704351607
"interceptMu",1.00360816280988,1.01180165145369
"rain1",1.00192230266506,1.0028467600926
"rain2",1.00480387639617,1.01740381132382
"temp1",1.00235064207577,1.00455314618458
"temp2",1.00970981592014,1.02565363773722
