"","Point est.","Upper C.I."
"beta[1,1]",1.00037483480389,1.00131394204412
"beta[2,1]",1.00024970849537,1.00047777648241
"beta[3,1]",1.00033373128558,1.00117948418768
"beta[4,1]",1.00060622996386,1.00153660669289
"beta[1,2]",1.00101692580351,1.00358947832459
"beta[2,2]",1.00015289064438,1.00039462869524
"beta[3,2]",1.00023108356375,1.00085851761959
"beta[4,2]",1.0002213774723,1.00081360472176
"beta[1,3]",1.00004442426055,1.00018933273602
"beta[2,3]",1.00012581199928,1.00048681152077
"beta[3,3]",1.00005546016891,1.00007202486529
"beta[4,3]",1.00050428131117,1.00178703709131
"beta[1,4]",1.00015662375859,1.00057390236198
"beta[2,4]",1.00009721437138,1.00036550006857
"beta[3,4]",1.00010417013887,1.0002960540655
"beta[4,4]",1.0001186420052,1.00043003341055
"beta[1,5]",1.00047514020264,1.00171667908762
"beta[2,5]",1.000123002327,1.00024505037099
"beta[3,5]",1.00017305258691,1.00031834243709
"beta[4,5]",1.0000300435428,1.00010839839363
"beta[1,6]",1.00010736811835,1.00029804659565
"beta[2,6]",1.00004721114562,1.00008874212821
"beta[3,6]",1.00011750788024,1.00024430123039
"beta[4,6]",1.00015088049295,1.0003296195161
"beta[1,7]",1.00047233533314,1.00127660898878
"beta[2,7]",1.00015711271827,1.00045904182568
"beta[3,7]",1.00011422151834,1.00023975454772
"beta[4,7]",1.0004076259729,1.00145773190174
"beta[1,8]",1.00002314663034,1.00006379730351
"beta[2,8]",1.00034604535169,1.00092185332463
"beta[3,8]",1.00020086809193,1.0004267669119
"beta[4,8]",1.00029112438315,1.00106042579033
"beta[1,9]",1.00017769173148,1.0004157455392
"beta[2,9]",1.00039543594767,1.0010559206772
"beta[3,9]",1.00019738366898,1.00027718724677
"beta[4,9]",1.00006264330525,1.00020683696195
"beta[1,10]",0.999993843638535,0.999995066228409
"beta[2,10]",1.00034855659526,1.00102239333729
"beta[3,10]",1.00018589911896,1.00056276263415
"beta[4,10]",1.00000414544816,1.00001972967978
"beta[1,11]",1.00010634351668,1.00040463388446
"beta[2,11]",1.00001696023289,1.00006403620572
"beta[3,11]",1.00000672165522,1.00003687428149
"beta[4,11]",1.00001829093938,1.0000933410061
"beta[1,12]",1.0002307289545,1.00067578548692
"beta[2,12]",1.00011655081723,1.00039570265936
"beta[3,12]",1.00003830204042,1.0000651269893
"beta[4,12]",1.00016842917893,1.00057207321932
"beta[1,13]",1.00055222193907,1.00186333586966
"beta[2,13]",1.00001699607438,1.0000625294425
"beta[3,13]",1.00069205602973,1.00244664410549
"beta[4,13]",1.00041641796492,1.00154330540368
"betaSpp[1]",1.00008364778105,1.00029239553065
"betaSpp[2]",1.00008444841516,1.00027995324537
"betaSpp[3]",1.00006703192605,1.00008590408632
"betaSpp[4]",1.00023758771215,1.00079664620657
"intG[1,1]",1.00103975322151,1.00107467173027
"intG[2,1]",1.000433115583,1.00135709550993
"intG[3,1]",1.00162576299458,1.00480783832242
"intG[4,1]",1.00017885340829,1.00022235288401
"intG[1,2]",1.00068932419684,1.00069628363014
"intG[2,2]",1.00033414250264,1.00089915615855
"intG[3,2]",1.00172111503275,1.00509485682728
"intG[4,2]",1.00015331529406,1.00017509575472
"intG[1,3]",1.00084809047493,1.00088389977511
"intG[2,3]",1.00041950006228,1.0013625327474
"intG[3,3]",1.00169254952765,1.00467232335013
"intG[4,3]",1.00025643799633,1.00026559331294
"intG[1,4]",1.00099888961128,1.00101685313784
"intG[2,4]",1.00057190292628,1.00181883962056
"intG[3,4]",1.00144030319669,1.00412966111345
"intG[4,4]",1.00017475848615,1.00021820036726
"intG[1,5]",1.00056704550013,1.00057761305794
"intG[2,5]",1.00023031977832,1.00052277229967
"intG[3,5]",1.00167145341605,1.00490042526897
"intG[4,5]",1.00028910741728,1.00040178930471
"intG[1,6]",1.00107583449658,1.00119767001592
"intG[2,6]",1.00044748994502,1.00128477102197
"intG[3,6]",1.00151323028554,1.00432582872444
"intG[4,6]",1.0001939025907,1.0002536862093
"intYr[1,1]",1.00040030754019,1.00073869577768
"intYr[2,1]",1.00069341695136,1.00240614446236
"intYr[3,1]",1.00071136356062,1.00228828638627
"intYr[4,1]",1.00024147521771,1.00045889463789
"intYr[1,2]",1.00003124104474,1.00008964817444
"intYr[2,2]",1.00092706558666,1.00321449424244
"intYr[3,2]",1.00093545670016,1.00191587985028
"intYr[4,2]",1.0004413936755,1.00152470905745
"intYr[1,3]",1.00058830220188,1.00187531244902
"intYr[2,3]",1.0006510609718,1.00215172325856
"intYr[3,3]",1.00208555114238,1.00721905521065
"intYr[4,3]",1.00048860254019,1.00088414349643
"intYr[1,4]",1.00052598530979,1.00169516655801
"intYr[2,4]",1.00095275434043,1.00333514443192
"intYr[3,4]",1.00264360769343,1.0051158490966
"intYr[4,4]",1.0002883087496,1.00074314207711
"intYr[1,5]",1.00128677610029,1.00433968380044
"intYr[2,5]",1.00013202054404,1.00042989266202
"intYr[3,5]",1.00203413339937,1.0060342214308
"intYr[4,5]",1.00013565708536,1.00027351709927
"intYr[1,6]",1.00086813535211,1.00162056882945
"intYr[2,6]",1.00037898843302,1.00097578509071
"intYr[3,6]",1.00222652630526,1.0066012832252
"intYr[4,6]",1.00033777560531,1.000359595563
"intYr[1,7]",1.00078032245907,1.00209538320244
"intYr[2,7]",1.00045529578415,1.00156714865561
"intYr[3,7]",1.00157691541533,1.00340750838011
"intYr[4,7]",1.00034108360042,1.00111115475288
"intYr[1,8]",1.00041818140001,1.00094306938234
"intYr[2,8]",1.00049675815421,1.00184479668499
"intYr[3,8]",1.00141385029807,1.00305361232717
"intYr[4,8]",1.00032260346964,1.00065901388988
"intYr[1,9]",1.00074329157925,1.00165073513219
"intYr[2,9]",1.00065309369546,1.00236495757758
"intYr[3,9]",1.00144311377306,1.00339877359028
"intYr[4,9]",1.00005690967897,1.00021453637146
"intYr[1,10]",1.00061302975958,1.00069712848877
"intYr[2,10]",1.0003456866005,1.00113864019863
"intYr[3,10]",1.00163300975383,1.00469729904089
"intYr[4,10]",1.00008698450379,1.00016826252245
"intYr[1,11]",1.00086567762684,1.00111600907082
"intYr[2,11]",1.00023336041921,1.00036952919035
"intYr[3,11]",1.00152008863887,1.00397580657413
"intYr[4,11]",1.00011038852522,1.00033949582678
"intYr[1,12]",1.00076942384723,1.00128041410834
"intYr[2,12]",1.00049612254732,1.00060669270652
"intYr[3,12]",1.00218027423468,1.00662199702578
"intYr[4,12]",1.00016259078348,1.00034949174031
"intYr[1,13]",1.00114338055128,1.00381388548071
"intYr[2,13]",1.0004236362882,1.00147852684697
"intYr[3,13]",1.00130563389855,1.00250331502634
"intYr[4,13]",1.00035199889311,1.00060872185223
"intercept[1]",1.00085673021903,1.00095624449066
"intercept[2]",1.00054243994803,1.00170407082065
"intercept[3]",1.00245510419101,1.0063764161408
"intercept[4]",1.00007107487806,1.00014171881527
"rain1[1]",1.00412231095916,1.01348750888974
"rain1[2]",1.00239117228986,1.00870534962606
"rain1[3]",1.00206632825842,1.00726750417178
"rain1[4]",1.00115930724255,1.00129433638758
"rain2[1]",1.00008466077298,1.00019539792549
"rain2[2]",1.00128119758791,1.00364441314428
"rain2[3]",1.00111916949436,1.00406039590653
"rain2[4]",1.00039284820498,1.00068337215345
"tau[1]",1.00052473294336,1.00193611548271
"tau[2]",1.00008707727864,1.00033337666443
"tau[3]",1.00001046473286,1.00001188110395
"tau[4]",1.00007029885192,1.00022191677296
"temp1[1]",1.00244214794818,1.00868688955801
"temp1[2]",1.00164925010849,1.00519908609627
"temp1[3]",1.00141179930847,1.00321684801844
"temp1[4]",1.00009889909734,1.00011111318463
"temp2[1]",1.00316999483738,1.00947760338732
"temp2[2]",1.00345573265178,1.01158154548704
"temp2[3]",1.00194460691995,1.0060299046504
"temp2[4]",1.00229821791849,1.00469533513852
