"","Point est.","Upper C.I."
"intG[1,1]",1.00179996697793,1.0020385119402
"intG[2,1]",1.00016431806046,1.00044241511906
"intG[3,1]",1.00009545441548,1.00012412465203
"intG[4,1]",1.0005637524265,1.00062539196028
"intG[1,2]",1.00077941743627,1.00085825380963
"intG[2,2]",1.00054557119442,1.00063700207447
"intG[3,2]",1.00011734003165,1.00021612223028
"intG[4,2]",1.00074178302991,1.00123192399084
"intG[1,3]",1.00542428697239,1.00592216421094
"intG[2,3]",1.00006543515427,1.00018474832911
"intG[3,3]",1.00004892066247,1.00015912588183
"intG[4,3]",1.00043756903359,1.00051230403805
"intG[1,4]",1.00060322106116,1.0006127343215
"intG[2,4]",1.00065208478746,1.00077548067048
"intG[3,4]",1.00043971805807,1.0004896532701
"intG[4,4]",1.00082449522782,1.00105627284207
"intG[1,5]",1.00022635363141,1.00028206285174
"intG[2,5]",1.00024593717698,1.00039430968073
"intG[3,5]",1.00014534980369,1.00043672104723
"intG[4,5]",1.00516588145803,1.0053764582696
"intG[1,6]",1.00060276467066,1.001070973158
"intG[2,6]",1.00017749956189,1.00024063894324
"intG[3,6]",1.00003147836107,1.00003392194349
"intG[4,6]",1.00064820769763,1.00091481910081
"intercept[1]",1.00049508198846,1.00056451188617
"intercept[2]",1.00009721868164,1.00022207675444
"intercept[3]",1.00008654267331,1.00032874960815
"intercept[4]",1.00072997568462,1.00110751702763
