year,month,day,max,min,precip
1931,1,1,9.44,-7.78,0
1931,1,2,7.78,-5.00,0
1931,1,3,6.67,-5.00,0
1931,1,4,5.56,-4.44,0
1931,1,5,6.67,-6.67,0
1931,1,6,5.00,-7.78,0
1931,1,7,4.44,-5.56,0
1931,1,8,1.67,-9.44,0
1931,1,9,2.78,-11.11,0
1931,1,10,4.44,-8.33,1.27
1931,1,11,0.00,-8.89,t
1931,1,12,-6.67,-17.78,t
1931,1,13,-8.33,-22.78,0
1931,1,14,1.67,-12.22,0
1931,1,15,7.22,-9.44,0
1931,1,16,-1.67,-12.22,0
1931,1,17,-0.56,-8.89,t
1931,1,18,1.67,-11.67,t
1931,1,19,-3.33,-10.56,0
1931,1,20,10.00,-11.11,0
1931,1,21,6.67,-7.78,0
1931,1,22,8.33,-8.33,0
1931,1,23,12.22,-1.67,0
1931,1,24,8.33,0.00,t
1931,1,25,10.00,-3.33,0
1931,1,26,10.56,1.11,t
1931,1,27,12.78,-2.78,0
1931,1,28,15.56,2.78,0
1931,1,29,18.89,1.67,0
1931,1,30,14.44,-1.11,0
1931,1,31,14.44,-1.67,0
1931,2,1,12.22,-5.00,0
1931,2,2,13.33,-6.11,0
1931,2,3,10.00,-4.44,0
1931,2,4,9.44,-4.44,0
1931,2,5,8.33,-5.56,0
1931,2,6,4.44,-1.11,3.048
1931,2,7,3.33,-5.00,0
1931,2,8,3.89,-8.33,0
1931,2,9,4.44,-11.67,0
1931,2,10,10.56,-6.11,0
1931,2,11,5.56,-0.56,t
1931,2,12,4.44,-3.89,0
1931,2,13,9.44,-7.22,0
1931,2,14,13.89,-5.56,0
1931,2,15,12.78,-3.33,0
1931,2,16,5.56,-2.78,0.508
1931,2,17,10.56,-3.89,t
1931,2,18,13.33,-1.11,0
1931,2,19,14.44,-0.56,0
1931,2,20,10.00,2.78,0
1931,2,21,5.00,0.56,8.128
1931,2,22,7.22,0.00,t
1931,2,23,12.78,-2.22,0
1931,2,24,6.67,-2.22,0.254
1931,2,25,7.78,-6.11,0
1931,2,26,2.78,-1.67,t
1931,2,27,2.78,-1.67,t
1931,2,28,8.33,-1.67,t
1931,3,1,11.67,-4.44,0
1931,3,2,7.78,-1.11,0
1931,3,3,9.44,-2.22,0
1931,3,4,6.67,-3.33,0.254
1931,3,5,-3.33,-8.89,0.762
1931,3,6,1.67,-13.33,t
1931,3,7,1.11,-5.00,t
1931,3,8,6.67,-11.11,0
1931,3,9,11.67,-2.22,0
1931,3,10,13.89,-4.44,0
1931,3,11,-2.78,-11.11,0.254
1931,3,12,8.89,-3.33,0
1931,3,13,5.00,-3.33,0
1931,3,14,6.11,-3.89,0
1931,3,15,18.33,-6.11,0
1931,3,16,15.00,-1.67,t
1931,3,17,12.78,-0.56,0
1931,3,18,17.22,-0.56,0
1931,3,19,13.89,3.33,0.254
1931,3,20,15.56,3.33,t
1931,3,21,18.33,-0.56,0
1931,3,22,10.56,5.00,2.794
1931,3,23,7.78,0.56,2.286
1931,3,24,11.11,-1.11,0
1931,3,25,7.78,-15.00,0.762
1931,3,26,-13.89,-17.78,0.508
1931,3,27,-12.22,-16.67,0.762
1931,3,28,-3.33,-17.78,0
1931,3,29,1.11,-8.89,0
1931,3,30,10.56,-6.67,0
1931,3,31,12.22,0.56,0
1931,4,1,12.78,2.78,0
1931,4,2,5.00,-2.22,8.128
1931,4,3,6.67,-4.44,0.254
1931,4,4,16.11,-4.44,0
1931,4,5,23.33,0.00,0
1931,4,6,23.33,3.33,0
1931,4,7,25.00,5.56,0
1931,4,8,18.33,6.11,0
1931,4,9,15.00,1.11,0
1931,4,10,21.11,-0.56,0
1931,4,11,27.22,6.67,0
1931,4,12,22.22,7.78,0
1931,4,13,27.78,12.22,0
1931,4,14,19.44,6.11,t
1931,4,15,17.78,2.78,3.048
1931,4,16,22.22,0.56,0
1931,4,17,27.22,4.44,0
1931,4,18,14.44,1.11,0
1931,4,19,10.00,-0.56,0
1931,4,20,2.78,-4.44,t
1931,4,21,9.44,-6.67,t
1931,4,22,5.56,-2.22,0
1931,4,23,9.44,-8.89,0
1931,4,24,13.33,-5.56,0
1931,4,25,11.67,-1.67,0
1931,4,26,15.56,-2.78,0
1931,4,27,20.00,0.56,0
1931,4,28,22.78,2.22,0
1931,4,29,25.00,6.67,0
1931,4,30,22.78,7.78,0
1931,5,1,20.56,5.56,0
1931,5,2,24.44,2.78,0
1931,5,3,25.56,10.00,t
1931,5,4,11.11,2.22,t
1931,5,5,13.33,-0.56,0
1931,5,6,23.89,0.00,0
1931,5,7,18.89,4.44,3.048
